ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,251430,1985,95,42,78.2,12250256.2,9540.7
Multifamily Housing,315941,2009,100,26,101.5,23706399.1,13220.9
Office,361878,2013,100,80,72.3,400466,8859.9
Multifamily Housing,310188,1898,100,54,55.9,3496687.5,9559
Office,213300,1902,100,73,77.4,323910.5,10017.2
Multifamily Housing,488895,1997,100,46,60.8,15841065.5,16042
Financial Office,61250,1907,100,68,82.1,7265.6,1449.1
Multifamily Housing,47510,1827,100,1,95.9,2870553.1,7918.6
Multifamily Housing,468963,1972,95,16,74.2,17137225,864235.7
Multifamily Housing,464912,1969,100,26,74.7,32200,12887.4
Office,885474,1968,60,56,71,0,13865.2
Office,1345237,1989,100,76,117.7,2216900,37796.1
Multifamily Housing,813470,1931,100,1,99.4,5260797.1,1419.3
Multifamily Housing,279600,1930,100,10,80.4,1406500.1,9902
Office,1858900,1915,95,88,65.6,2150167,22500.7
Office,1248923,1967,90,71,133,544887.5,34898.6
Hotel,183235,2009,100,48,99.2,968781.2,9301.1
Office,2294059,1972,85,89,98.1,1739666.4,32757.1
Office,801685,1924,100,58,111.3,1932604.9,30979.6
Multifamily Housing,636074,2000,100,24,92.4,40633092.2,30812.9
Office,600000,1982,100,70,80,1100800,25109.4
Multifamily Housing,52005,1900,95,93,38.2,886957.6,1536.3
Multifamily Housing,51895,2009,100,89,58,2068799.8,1648
Multifamily Housing,142626,2000,100,59,94,10829200.3,6749.4
Multifamily Housing,388596,2003,100,4,108.2,15266915.3,19344.6
Multifamily Housing,79470,1900,100,8,80,3202800.2,3885.4
Multifamily Housing,73779,1901,100,52,74.1,4181115,1601.7
Multifamily Housing,100369,1900,100,29,80.1,5580592.8,3487.3
Office,213484,1926,100,67,78.9,2342884.4,4926
Financial Office,1149222,1983,100,64,89.3,508187.9,16237.6
Multifamily Housing,121028,1900,100,18,63.7,263645.8,2383.3
Multifamily Housing,112500,1906,100,46,66.1,5487043.9,2856.9
Multifamily Housing,58196,1985,100,35,64,1621162.4,3913.4
Multifamily Housing,118968,1997,100,26,106.2,4595428.6,3561.8
Multifamily Housing,57567,1988,100,32,88.8,3904875.2,2910.7
Multifamily Housing,87324,1931,100,4,79.8,2966771.8,4509.3
Multifamily Housing,111592,1910,100,5,74.5,4682511.9,4089.6
Multifamily Housing,69830,1910,100,62,57.3,2377686.9,2786.5
Multifamily Housing,51508,1929,100,27,94.5,4239047.4,1801.4
Hotel,53039,1845,100,21,130,4856686.9,5730.7
Office,250564,1904,100,93,55.2,1302.9,3941.1
Multifamily Housing,477429,1990,100,13,96.9,32486166.9,16599.7
Office,113473,1935,95,99,34.5,1611297.4,2813.6
Multifamily Housing,231894,2003,100,4,142.3,24298464.8,14400.6
Multifamily Housing,144375,1990,100,83,35.8,739700,9539.2
Multifamily Housing,91412,2007,100,5,82.4,3281041.7,3818.4
Multifamily Housing,236534,2007,95,10,102.2,12361775.2,14115.4
Multifamily Housing,71550,1920,100,35,75.1,4155500,1506.6
Office,80149,1920,100,23,118.9,2590531.3,1417.7
Multifamily Housing,73954,1985,100,34,77.8,49356.3,1371.2
Multifamily Housing,84100,1915,100,6,65.5,2297575,2940.4
Office,133010,1930,100,28,147.8,2513953.1,6188.6
Hotel,75000,2005,100,1,216,9095828,8228.6
Multifamily Housing,79804,1985,100,1,110.4,7117812,11820.2
