bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1981,192822,100,11659.1,0.7,1766832.5,92.6
Multifamily,1960,192738,100,13677.4,0.5,925390.7,62.2
Multifamily,1978,75302,100,4682.8,0.3,775404.1,123.2
Parking,1950,62000,0,624.6,0,322971.9,19.1
Office,1928,150525,100,2499.6,0,1896340.8,62.6
Multifamily,1959,62145,100,1775.1,0.1,331712,73.7
Multifamily,1930,79920,100,6239.5,0.6,410258.8,81.1
Multifamily,1965,148080,100,3587.7,0.7,991183.8,94
Multifamily,1940,105961,100,4961.1,0.6,654010.3,76.6
Multifamily,1962,71137,100,5786.2,0,812567.7,117.3
Multifamily,1959,137278,95,9705.2,1,1425627.2,129.9
Multifamily,1941,57042,100,2210.5,0.6,273903,80
Multifamily,1929,68538,100,2644.1,0,1171315.9,60.3
Multifamily,2005,166199,100,6593.3,1,2737455.2,141.3
Multifamily,1959,65000,100,3452.9,0.9,456621.8,111.3
Multifamily,1928,169376,100,5676.2,0.5,1209105.1,85.5
Multifamily,1962,101131,100,4347.7,0,581459.7,78.8
Multifamily,1927,95162,100,1697.3,0.4,1304839.1,84.5
Multifamily,1975,433072,100,27796.1,0.9,4132043.5,125.3
Multifamily,1982,165122,100,9951.3,1,1896991.4,135
Multifamily,1947,180760,100,6190.1,0.2,1264437.2,68.1
Multifamily,1982,66000,100,5508.8,0.5,817551.2,81.9
Multifamily,1929,98766,100,2200,0,357150.8,62.7
Multifamily,1984,95347,100,5423.2,0,670141.8,104.9
Multifamily,1930,77102,100,2912.9,0.5,273065.3,58.3
Multifamily,1927,148534,100,2926.4,0,1033684.7,25.9
Multifamily,1931,78964,100,2222.5,1,324344.9,108.7
Multifamily,1930,125000,100,1820.8,0.6,551517.3,66.2
Multifamily,1930,93993,100,2368.8,0.7,591746.2,82.9
Multifamily,1925,98808,100,2378,0,358977.6,62.3
Multifamily,1929,83795,100,1995.1,0,305431.4,61.8
Multifamily,1930,86144,100,22095.6,0.7,591746.2,90.8
Multifamily,1930,88160,100,2446.1,0.7,591746.2,88.9
Multifamily,1951,480278,100,14368,0,2850149.7,75
Multifamily,1956,203535,95,10498.7,0,990692.9,68.4
Multifamily,1955,319696,100,8433.5,0,1726075.9,75.6
Multifamily,1956,85610,100,3255.3,0,443264.3,27.2
Multifamily,1956,118121,100,5010.1,0.7,947021.5,92.5
Multifamily,1983,189312,100,14213,0.6,3649264.7,120.6
Multifamily,1949,147000,100,4376.9,0.6,848063.8,71.6
Multifamily,1960,125800,100,4763.6,0,866709.9,109.7
Multifamily,1955,90000,100,2082.6,0,438313.2,93.6
Multifamily,1955,90000,100,2899.4,0,433903.1,70.2
Multifamily,1961,95977,100,3938.5,0.6,666600.9,78
Multifamily,1927,136655,100,3383.4,0,554162.3,52.5
Multifamily,1927,93638,100,2535.1,0.6,385755.1,72.5
Multifamily,1970,105734,100,2926.4,0,1464126.1,47.7
Multifamily,1972,950000,100,44961.7,0.9,8582632.6,126.4
Multifamily,1959,548505,100,16933.7,0.4,2695183.7,56.7
Multifamily,2003,149394,100,5644.1,0.6,443337.8,61.4
Multifamily,2004,184076,100,13872.3,1.1,1832858.4,134.8
Multifamily,2007,241005,100,11012.8,0.8,1958742.1,102.3
Multifamily,2007,126343,100,5785.1,0.7,1017423.1,89.6
Multifamily,2008,239958,100,10397.1,0.5,1477179.7,68.2
Hotel,1927,335897,100,26913.4,0,4603952.6,133.2
Hotel,1905,57000,100,60.1,0.3,1094386.6,150.6
Office,1984,285562,100,5470.9,0,4894132.2,66.1
Office,1928,136733,100,2297.3,0.3,1489439.3,63.7
Multifamily,1928,98246,100,1960.6,0,1069745.4,65.2
Hotel,1960,320000,100,29434.7,0.8,4791359.2,122.3
Multifamily,1918,61821,100,1150.5,0,282173.8,73.9
Multifamily,1901,52991,100,4523.5,1,1119628.7,151.6
Multifamily,1923,194808,100,3907.8,0,1119337.3,55.2
Multifamily,1924,67561,100,1062.2,0,472054.7,63.8
Multifamily,1917,114041,100,2062.1,0.5,635315.5,62.9
Multifamily,1920,101929,100,1878.4,131,1262126.4,13145.4
Multifamily,1928,98550,100,5546.1,0,1308141.6,75.5
Multifamily,1949,133340,100,6348.5,0.7,969390.7,92.3
Multifamily,1924,101231,100,1708.6,0,458289.1,67.8
Multifamily,1914,99583,100,2163.4,0.5,817860.3,69.9
Multifamily,1941,62196,100,2193.4,0.6,353814.7,80.5
Multifamily,1949,286573,100,9327.6,0.6,1691144.6,81.6
Multifamily,1955,123844,100,3255.5,0.6,864628.9,80.8
Multifamily,1941,204279,100,4677.6,0.5,1339797.5,70.9
Multifamily,1913,98016,100,1924.7,0.2,1272451.3,62.5
Multifamily,1937,66878,100,1885.1,0,406460.8,86.6
Multifamily,1937,69540,100,1169.2,0,281402.2,74.1
Multifamily,1929,287748,100,11830.4,0,2131052.9,25.1
Multifamily,1951,77073,100,1384.6,0.5,336227.7,60
Multifamily,1924,60819,100,1538.7,0.7,575998.9,91.6
Multifamily,1915,143400,100,3050.3,0.5,892435.2,63.7
Multifamily,1924,74450,100,1350.6,0,353482.8,64.1
Multifamily,1937,69169,100,1477.4,0,76350.2,49.9
Multifamily,1975,80369,100,2776.8,0,562074,76.4
Multifamily,1917,98881,100,1755.7,0.3,732946,57.3
Multifamily,1950,135440,100,8956.2,0,1112204.9,109.6
Multifamily,1940,224303,100,7087.8,0.4,1398844.1,61.5
Multifamily,1929,128328,100,2824.6,0.5,751225.9,64.2
Hotel,1926,130000,100,11810.7,0.3,3002862.3,176.9
Multifamily,1948,221098,100,5649.4,0.5,1014767.3,71.5
Multifamily,1982,185127,100,2074.8,0.1,851692.5,26.8
Multifamily,1917,64680,100,3289.9,0.6,468035.9,78
Multifamily,1936,47928,85,1141.7,0.5,173460.5,56.7
Multifamily,1958,150518,100,7061.6,0,1577704.8,36.3
Multifamily,1926,185425,100,4107.6,0,1009545.6,55.9
Office,1947,219657,100,4748.8,0,3294603.6,64.1
Multifamily,1963,330173,100,13294.5,0,1878856.2,58.7
Retail,1886,849062,100,3414615.9,0,17316787.5,91.6
Multifamily,1912,95603,100,3871.4,0.6,782171.6,82.2
Multifamily,1957,57847,100,1349.5,0.6,360084.7,75
Multifamily,1913,72307,100,2264.5,0,361493.2,82.4
Multifamily,1913,84968,100,2021.2,0.6,395838.9,69.6
Multifamily,1960,104980,100,4816,0.5,862615,75
Multifamily,1928,139972,100,4079,0,1017328.4,68.6
Multifamily,1968,258636,100,11101.8,0.9,2046545.2,114.9
Multifamily,1955,181000,100,4237.8,0.7,1061246.9,82.3
Multifamily,2011,62497,100,1630,0.1,890198.8,55.9
Multifamily,1929,105268,100,7201.4,0.6,1655670.4,104.3
Multifamily,1913,72100,100,1401.1,0,440443,69.4
Multifamily,1906,135000,100,3286.9,0.4,770259.9,61.7
Multifamily,1957,258325,100,10168.3,0,1653793.3,63
Multifamily,1931,182031,100,2421.8,0.1,972251.2,71.9
Multifamily,1905,43574,100,1757.5,0,355608.9,94.3
Multifamily,1965,139626,100,5357.5,0.8,1177297.6,112.2
Multifamily,1916,78153,100,3407.4,0,373809.9,72.2
Multifamily,1924,66000,100,16249.3,0,386671.6,77.1
Multifamily,1924,57907,100,387.5,0,272126.5,65.4
Multifamily,1986,174242,100,24798.4,0,2027613.7,63.6
Multifamily,1962,200954,100,9061,0.4,1247527.2,61.2
Multifamily,1927,91493,100,3256.4,0.1,177481.7,59.4
Multifamily,1926,106915,100,2536.4,0,762038.9,73.8
Multifamily,1914,137571,100,4796.2,0.5,875364.6,66.7
Multifamily,1914,72890,100,1538.7,0.4,721879.5,71.5
Multifamily,1923,63441,100,1554.5,0,496156.7,86
Multifamily,1923,100032,100,1891.4,0,475341.7,86.4
Multifamily,1940,134644,100,3566.7,0.4,773187.7,55.6
Multifamily,1924,78000,100,2372.3,0,432170,57.3
Multifamily,1958,183314,100,9869,0.1,1057236.3,53.6
Multifamily,1923,66000,100,1798.3,0,370300.9,62.6
Multifamily,1923,70225,100,2637.6,0,438422.3,71.3
Multifamily,1963,106480,100,4153.7,0.8,680931.6,100.1
Multifamily,1961,166005,100,5525.9,0.5,1137977.3,69.8
Multifamily,1923,55760,100,2054.2,0.6,313583.1,76.6
Multifamily,1929,133557,100,4552.6,0,773279.8,73.1
Multifamily,1962,145000,100,5383.8,0,447646.3,62.7
Office,1915,43349,100,1971.9,0,360060.9,54.5
Multifamily,1961,140000,100,6126.5,0.5,1656759.7,92.1
Multifamily,1920,61381,100,1270.7,0.4,655766.7,77.8
Multifamily,1958,182015,100,9835.4,0.5,983041.3,66.1
Multifamily,1959,202255,100,6776.6,0.5,1179606.9,68.1
Multifamily,1999,65953,100,3539.8,0.4,781175.3,76.1
Multifamily,1942,99200,100,3285.4,0.6,1230921.5,99.5
Multifamily,1912,114300,100,3337,0.6,986038.7,85
Multifamily,1942,72438,100,2673.5,0.6,373617.1,70.3
Multifamily,1927,175590,100,4333.5,0,1029524.1,44.6
Multifamily,1928,54683,100,1007.6,0.5,238883.4,62
Multifamily,1927,55500,100,22627.1,0,254471.9,101.7
Multifamily,1917,111251,100,2501.6,0,500762.3,67.6
Multifamily,2003,126160,100,3896.7,0.4,1926416.4,83.7
Multifamily,1963,190995,100,6838.7,0.4,1399478.9,85.4
Multifamily,1968,171111,100,12795.3,1.2,2107832.5,171.8
Hotel,1963,98495,100,4527.9,0,865298.2,86.5
Multifamily,1920,265306,100,14736.6,0,2392322.2,112.5
Multifamily,1961,259383,100,10769.7,0,2090709.4,63.3
Office,1946,171933,100,3314,0,4457914.3,140.7
Multifamily,1974,333724,100,14172.8,0,2195485.6,80.9
Multifamily,1929,256474,100,12928.6,0.5,1623937.5,70
Multifamily,1962,1016132,100,38173.4,0.7,7428064.1,94.1
Multifamily,1980,320000,100,12336.1,0.3,3253916.7,61.6
Multifamily,1929,87872,100,2170.5,0,464242.1,54
Multifamily,1986,74947,100,3327.3,0.7,867706.2,104.3
Multifamily,1976,483178,100,16422.2,0,3044376.5,66.5
Multifamily,1929,52000,100,1885.1,0.4,213353.9,65.9
Multifamily,1975,190000,100,10171.8,0,4117207.6,137.5
Multifamily,1979,568500,100,20141.3,0.4,3098448,57
Multifamily,1960,67655,100,2877,0,495599.9,126307.4
Multifamily,1930,134722,100,4397,0,596299.9,61.8
Multifamily,1937,161540,100,2234.4,0,473548.6,44.2
Multifamily,1932,97677,100,2589.8,0,521881,71.8
Multifamily,1929,75137,100,1950.1,0,453196.5,70.4
Multifamily,1930,82199,100,1779.2,0,437645.6,81.7
Multifamily,1963,134807,100,4795,0.6,907637.9,81.3
Multifamily,1957,216576,100,13519.5,0.7,1567001.4,91.7
Multifamily,1938,82065,100,4595.3,0.4,380669.7,59.6
Multifamily,1959,81080,100,4789.8,0.1,520455.4,105.1
Multifamily,1965,137150,100,6727.2,0.9,933613.4,115.9
Multifamily,1961,83494,100,3306.1,0,436993.8,79.7
Multifamily,1931,245550,100,9293.1,0.2,1264502,39.7
Entertainment,1979,115000,100,13544.8,1.5,4688412.1,283.8
Multifamily,2000,57000,100,1982.3,0.4,268634.4,55.9
Multifamily,1986,105000,100,4317,0.7,735492.7,91.6
Multifamily,1958,108828,100,4402.3,0.7,1136154.6,101
Office,1930,59000,100,3057.9,0.4,641071.2,69.7
Multifamily,1949,70992,100,3595.1,0.1,306778.9,66.5
Multifamily,1930,174247,100,5368,0.6,2083714.6,96.8
Multifamily,1996,97000,100,3125.7,0.7,983314.7,98.4
Multifamily,1965,82384,100,2678.8,0,414758.2,45.8
Multifamily,1962,154635,100,6693.6,0.7,855708.8,89.1
Multifamily,1970,54872,100,1876.9,0.6,314333.2,69.8
Multifamily,1964,154029,100,7192.3,0.8,1008129.1,100.6
Multifamily,1964,61175,100,3682.7,0,378173,81.9
Multifamily,1931,334854,100,13531.5,0,1898769.7,22.2
Multifamily,1928,140299,100,4023.3,0.6,521618.6,63.6
Multifamily,1961,85195,100,3744,0.7,532372.1,89.8
Multifamily,1940,56553,100,1841,0,575311.1,35.3
Multifamily,1961,323151,100,16492.3,0,2158049.1,71.7
Multifamily,1940,60400,100,1707,0.7,611568.1,96.8
Multifamily,1930,97072,100,2697.5,0.5,440978,64.6
Multifamily,1988,71776,100,1828.1,0.5,511719.1,68.8
Multifamily,1927,89814,100,3189.7,0.9,423594.4,95.4
Multifamily,1975,118499,100,3966.2,0.1,1078445.7,40.3
Multifamily,1961,175387,100,7319.6,0.4,1332304.4,67
Multifamily,1960,50460,100,3787.8,0,78001.7,78.6
Multifamily,1987,349604,100,7705.6,0,1800686.6,59.7
Multifamily,1961,154451,100,8221.1,0.5,972515.4,67
Multifamily,1957,129616,100,7282.3,0.6,703672.6,76.2
Multifamily,1987,188767,100,8871.9,0,1359288.2,91.5
Multifamily,1960,405000,100,19868,0.6,2605973.4,80.4
Multifamily,1938,66162,100,2922.6,0,272920.3,79.9
Multifamily,2000,168729,100,7654.1,0.6,1635066.2,91
Multifamily,1960,139000,100,6528.7,1,1078836.9,128.7
Multifamily,1986,53662,100,800.2,0.4,361695.4,64.3
Multifamily,1941,82608,100,2485,0.4,624149.9,66.1
Multifamily,2001,307000,100,10578.7,0.7,3219259.6,99
Multifamily,1999,268664,100,16436.2,0.1,3937429.7,76.3
General Medical,2015,238000,0,9623.7,1.7,6527297.3,264.1
Multifamily,1961,140912,100,6902.1,1.1,853241.5,139.1
Facility,1963,193270,100,258.1,0.1,1083691.1,28.2
Facility,1963,75833,100,20.9,0,222319.7,10.1
Office,1980,156000,100,4303.4,0.1,4385162.2,80.9
Education,1928,68635,100,3077.2,0,2571947.6,132.6
Multifamily,1985,52239,100,1710,0.8,364970,96.5
Multifamily,1958,119000,100,6080.7,0.6,643569.1,80.3
Multifamily,1958,280000,100,17027.4,0.7,1681825.5,85.7
Multifamily,1956,493220,100,20048.6,0.5,2213748.3,64.4
Multifamily,1920,234779,100,34958.4,0,1238186.7,23.3
Multifamily,1920,156170,100,9821.1,0,413952.5,41.7
Multifamily,1920,98964,100,5807.9,0,247440.9,55.9
Multifamily,1920,145719,100,8266.4,2.8,665772.5,323.4
Multifamily,1962,139687,100,6644.9,0.6,1693866.4,95.5
Multifamily,2000,138500,100,4420.2,0.1,1871539.3,58.8
Multifamily,2008,279903,100,7637.4,0.8,2882302.1,114.3
Multifamily,1974,250461,100,13197.8,0,1601599.8,83.6
Multifamily,1966,388498,100,26555.1,0.2,4775938.5,57.2
Multifamily,2007,377225,100,11152.7,0.3,3470448.8,58.4
Multifamily,1962,236350,100,9733.8,0.9,1571615,111.2
Multifamily,1938,57775,100,1817.8,0.9,230897.9,100.9
Multifamily,1969,272614,100,15898.3,0.9,2513337.2,120.2
Multifamily,1963,137820,100,7345.1,1,829180.1,125.6
Multifamily,1959,299269,100,13384.6,0.5,2075870.1,66.8
General Medical,1950,82200,100,6330.3,0,1294602.1,72.4
Multifamily,1999,180615,100,13886.1,0.6,1984797.5,98.5
Multifamily,1976,75294,100,6288.6,0,131538.5,52
Multifamily,1964,173740,100,15252,0.2,1156626.8,39.1
Multifamily,1962,62917,100,2987.7,0.7,279424.4,83.3
Multifamily,1956,246000,100,7324.9,0.6,1103944.3,73.2
Multifamily,1986,175694,100,8943.6,0.4,1078654.6,103.9
Multifamily,1960,145080,100,7999.2,0.5,753575.8,62.9
Multifamily,2005,112398,100,4159.2,0.6,1225027.4,100.8
Hotel,1974,146262,100,5897,0.6,2114190,106.9
General Medical,1988,211990,100,70643.4,0,4303102.6,69.1
Multifamily,1964,167396,100,10148.8,1.2,1346671.5,151.5
Multifamily,1960,56800,100,1995.8,0,165397.5,11.8
Multifamily,1964,86786,100,4682.8,1,621822.3,121.9
Multifamily,1956,41043,100,2713.2,0,267284.4,93.1
Multifamily,1986,292043,100,24268.3,0,2819885.7,150.2
Multifamily,1911,89026,100,7288.7,2.5,349314.9,256.1
Multifamily,1940,81922,100,2234.4,1.6,561231.3,175
Multifamily,1929,73045,100,2870.3,0.4,512031.8,59.1
Multifamily,1938,109419,100,4454.6,0.5,429935.5,64.5
Multifamily,1955,49822,100,3598.5,0,485787.7,78.7
Multifamily,1925,64058,100,1942.7,0.6,371880.5,76
Multifamily,1981,50388,100,2075.1,0.1,719755.9,57.7
Multifamily,1929,55200,100,1765.9,0.6,442248,85.6
Multifamily,1911,106700,100,3358.8,0,765695.8,73.7
Multifamily,1912,98307,100,2859.8,0.5,562187.3,68.1
Multifamily,1925,73983,100,1484.1,0,422509.4,83.4
Facility,1954,150000,100,33570.6,0.4,1424857.9,64.8
Multifamily,1925,100250,100,1658.7,0.2,859795.6,67.7
Multifamily,1925,54696,100,1485.1,0,252251.6,57.7
Multifamily,1928,248545,100,4287.1,0,1226759.8,17.5
Multifamily,1923,445059,100,19376.6,0.6,2566447,78.8
Multifamily,1964,118237,100,5516.9,0.6,883549.9,85.2
Multifamily,1957,100000,100,3903.3,0.9,579112.2,99
Multifamily,1912,56571,100,1670.5,0.6,328452.6,74.8
Multifamily,1917,80640,100,2429.1,0.6,304139.1,64.1
Multifamily,1960,124960,100,4009.6,0,704456.2,76.2
Multifamily,1930,91361,100,2834.4,0,648070.4,89.1
Multifamily,1910,74198,100,1941.9,0.5,327399.4,59.3
Multifamily,1925,155587,100,3564.1,0.5,878958.8,65.2
Multifamily,1951,162304,100,4646.8,0.4,808489.1,62.1
Multifamily,1924,96667,100,3224.1,0.6,634747.4,79.3
Multifamily,1928,177000,100,5394.5,0.4,1714244.9,75.6
Multifamily,1963,156729,95,6455.9,0.6,922118.9,88.6
Multifamily,1928,215315,100,5382.5,0.5,1069877.1,58.5
Multifamily,1930,194934,100,5288,0.6,859253.4,71.5
Multifamily,1922,60035,100,1392.1,0.3,310438.8,79.2
Entertainment,1959,125362,100,14101.8,0,3847612.3,276.7
Multifamily,1929,171348,100,4435.1,0.4,890613.8,60.7
Multifamily,1973,313271,100,12232.1,0.5,2368520.7,75.2
Multifamily,1957,117340,100,5496.7,0.8,1145998.6,105.1
Multifamily,1955,76114,100,3186,0.6,350202.4,76.5
Multifamily,1955,243585,100,5371.3,0.5,1596663.2,65.9
Multifamily,1927,133265,100,2588.4,0,605831.9,74.6
Multifamily,1929,168296,100,5333.6,0.5,1069847.4,70
Education,1929,65500,100,33570.6,1.3,1759501.4,163.9
Multifamily,1927,103623,100,2963,0.5,578443.8,73.4
Multifamily,1928,51475,100,2009.3,0.7,257546.7,77
Multifamily,1927,142220,100,4794.3,0.3,864407.2,53.6
Multifamily,1946,112138,100,3013.2,0.1,604452.5,43.4
Multifamily,1940,174445,100,4039.5,0.5,810706.5,61.1
Entertainment,1908,85000,100,5711.4,0.2,1741359.8,91.6
Office,1926,178636,100,3541.6,0,928010.2,9.6
Multifamily,1926,130331,100,2715.4,0,626746,65.2
Multifamily,1926,194347,100,4748.6,0.5,1030792.1,66.4
Multifamily,1925,166357,100,3531.6,0.5,991791.2,65.7
Multifamily,1926,196577,100,4204.4,0.4,891015.5,54.4
Multifamily,1899,51912,100,1895.2,0.6,205659.6,73.1
Multifamily,1983,290169,100,11043,1,2332205.4,121.8
Multifamily,1922,72954,100,2378.4,0,336453.4,83.2
Multifamily,1928,131414,100,2264.4,0.4,619677.9,55
Multifamily,1902,68992,100,2147.5,0.5,78039.1,53.5
Multifamily,1930,246000,100,4443.4,0.5,1147501.1,65.3
Multifamily,1930,126338,100,3845,0.6,612090,66.7
Multifamily,1929,118423,100,2991.5,0,510775.4,70.7
Multifamily,1929,116003,100,4622.2,0,574808.7,76.3
Multifamily,1905,71897,100,5395,0,493046.7,72.4
Multifamily,1923,170466,100,3853.2,0.5,847683.5,59.7
Multifamily,1912,112528,100,2998.7,0.8,605909.1,85.5
Multifamily,1928,94416,100,3594.4,0.5,436252.7,61
Multifamily,1973,138875,100,3651.9,0,752991.8,83.5
Multifamily,1927,121715,100,3898.7,0.4,1098636.5,72.5
Multifamily,1925,52296,100,3094.3,0,303244.9,76
Multifamily,1930,80711,100,1690.1,0,499263.9,73.8
Multifamily,1922,51499,100,2226.2,0.5,400867.4,72.8
Multifamily,1958,250097,100,6123.6,0.4,1104790.6,47.5
Multifamily,1927,171359,100,4367,0.4,1406920,68.8
Multifamily,1927,65721,100,1362.3,0,263829.6,15.7
Multifamily,1915,74018,100,2209.6,0,460162.7,71.6
Multifamily,1983,129881,100,6202.7,0.6,1299726.6,83.2
Multifamily,1911,139354,100,3675.2,0.6,685895.9,73.9
Multifamily,1932,50000,100,1534.3,0.6,211872.7,77.9
Multifamily,1961,104352,100,6134.5,0.7,1561301.8,106
Multifamily,1929,147547,100,3896.6,0.6,909614.8,72.8
Multifamily,1916,49045,100,2096,0,354228.1,86.7
Multifamily,1927,152113,100,2542.7,0,1137248.9,86.6
Multifamily,1929,92925,100,3559.9,0.7,442717.5,84.5
Multifamily,1964,153261,100,11543.1,1.4,1148313,174.8
Multifamily,1924,51744,100,1922.5,0,324435.4,77.3
Multifamily,1915,133334,100,2326.4,0,641197.3,79.2
Multifamily,1981,65724,100,2948.3,0.6,534610,85.7
Multifamily,1928,73495,100,1766.9,0,373492.9,98.4
Multifamily,1917,54671,100,1649.5,0,232618.1,71.6
Multifamily,1927,80175,100,2185.7,0,424302.2,52.5
Multifamily,1962,115974,100,5836.3,0.8,1189198.6,111.9
Multifamily,1986,91244,100,7951.8,1,1228789.4,141.2
Multifamily,1924,54440,100,1852.2,0.1,263602.1,88
Multifamily,2009,357973,100,15161.2,0,7383261.3,59.7
Multifamily,1939,64241,100,1511.2,0.7,267816.9,76
Multifamily,1961,62459,100,6379.4,1.4,732689,244.5
Office,1905,39847,100,0,0,995181.5,73.9
Multifamily,1963,128132,100,7270.3,0,1085918.3,142.2
Multifamily,1922,139718,100,3192.7,0.6,727210.7,68.2
Multifamily,1928,51000,100,1752.9,0.6,391332.2,81.7
Multifamily,1926,156827,100,4345,0.4,666102.3,51.2
Multifamily,1938,68413,100,1963,0.5,291064.9,57.1
Multifamily,1936,64344,100,4106.1,0.1,672396.4,96.3
Education,1929,85215,100,2739,0.1,1195563.5,56.8
Multifamily,1923,155279,100,4376.9,0.4,760283.8,54.1
Multifamily,1924,52848,100,3002.7,1.3,268686.2,136.3
Multifamily,1980,76000,100,4919.9,0.5,475469.3,66.7
Multifamily,1922,115769,100,4951.1,0,582481.8,66.1
Multifamily,1924,54997,100,3200.2,0.3,310863.4,53.7
Multifamily,1962,77520,100,3959.4,0,895600.6,99.5
Multifamily,1927,225996,100,19484.1,0,1373577.8,42
Multifamily,1941,70056,100,3594.4,0.7,426974.4,86.7
Multifamily,1924,65434,100,1786.3,0,329132.5,69.4
Multifamily,2003,169874,100,5632.8,0.5,2083631.7,89.9
Multifamily,1926,195000,100,6329.2,0.5,1230002.4,65
Multifamily,1926,185943,100,4217.5,0.4,1162439.4,60.3
Multifamily,1927,72080,100,2850.4,0,286407.1,37.2
Multifamily,1929,85924,100,4153.2,0.1,348792,48.2
Multifamily,1925,181500,100,3961,0.5,4919430.1,140.2
Multifamily,1989,42475,100,3202.6,0.6,680695.1,104.4
Multifamily,1928,77426,100,3372.2,0.5,341596.8,60.7
Multifamily,1934,141668,100,284.8,0.2,511020.2,51.2
Multifamily,1925,128837,100,3691.6,0,642655.1,74.7
Multifamily,1961,231700,100,7313.7,0.1,1217008.5,70.6
Multifamily,1980,218612,100,9493.5,0.6,1554834.9,81.2
Multifamily,1928,64045,100,2457.9,0,258091.7,87.2
Multifamily,1928,106600,100,5498.2,0.3,552248,61.2
Multifamily,1971,104951,100,4472.6,0.7,914767,95.9
General Medical,1967,177000,95,15456.1,0,1106103.1,103.5
Multifamily,1938,94417,100,2402.7,0.6,468034.4,75.1
Multifamily,1930,60988,100,1835,0,271053,71.6
Multifamily,1930,105921,100,3952.7,0.5,643719.4,66.9
Multifamily,1957,310000,100,9304.3,0.5,1826575.4,72.7
Multifamily,1967,94411,100,4609.5,0,370214.2,76.7
Multifamily,1959,123524,95,6416.7,0.4,713599.5,67
Multifamily,1963,171466,100,6535.7,0.6,733182,71.1
Multifamily,1964,97646,100,5489,0,836183.2,122.5
Multifamily,1961,132469,100,4082,1.1,1118626.7,140.2
Office,1930,63500,100,470.5,0.1,1005959,66.5
Multifamily,1986,81100,100,4377.4,0.6,773515.8,89.2
Multifamily,2007,283580,100,9222.5,0,3028952.4,39.4
Multifamily,1987,159552,100,8620.7,0,2488925.5,117.9
Multifamily,1983,50590,100,3586.9,0.8,516872.3,106.7
Multifamily,1989,104440,100,5119.9,0.3,610013,54.9
Multifamily,1981,55448,100,2309.2,0.7,662183,105.9
Multifamily,1966,176000,100,5118.9,0.4,993260.1,61.2
Multifamily,1987,216136,100,8921.3,0.4,2030353.2,75.6
Multifamily,1980,185671,100,8550.2,0.5,1456238.1,81.3
Multifamily,1974,716813,100,32037.9,0.4,5324160.6,61.4
Multifamily,1985,109913,100,9369.4,0.8,438594.3,81.8
Multifamily,1986,576000,100,13762.5,0.4,2963117.7,58.3
Multifamily,1985,442606,100,14064.1,0,4391923.8,37.9
Multifamily,1985,302981,100,52648.1,0.8,3297365.6,106.8
Multifamily,1985,946876,100,5499.7,0.8,9670641.9,106
Multifamily,1929,129350,95,3759.7,0.4,530296.8,52.9
Multifamily,1963,413760,100,21524.4,0.9,1688405.9,94.8
Multifamily,1950,425743,95,24429.1,0.8,3346673.5,101.8
Multifamily,1998,138238,100,8485.2,0.6,2022702,98.9
Multifamily,1976,278650,100,10814.9,0,2274132.6,106
Multifamily,1967,252400,100,10790,0,329543.1,33.7
Multifamily,1920,61717,100,2185.1,0.6,183658.4,63.9
Multifamily,1920,258742,95,12125.9,0.6,1624955,72
Multifamily,1985,211727,100,9981.3,0.6,2060514.2,88.7
Multifamily,1964,690703,100,36978,0.9,4171117.5,106.8
Multifamily,1971,148185,100,4495.8,0.7,918978.6,86.5
Multifamily,1972,139976,100,6627.7,0.7,825516,82.8
Multifamily,1959,116390,100,3248,0,484824.9,59.4
Multifamily,1989,212760,100,13656.4,0.8,2160906.8,107.5
Multifamily,1929,73878,100,4092.6,0.3,307437.6,42.8
Multifamily,2013,144235,100,5594.3,0.3,2065176.9,75
Multifamily,1980,360300,100,12929.2,0.6,2301899.5,74.7
Multifamily,1963,55500,100,2007,0.6,231648.8,72.2
Multifamily,1974,350713,100,11048.7,0.2,2509163.7,43.1
General Medical,1997,56964,100,987.7,0.3,1158686.6,97.8
Office,1920,80000,75,1821.9,0.5,761454.5,72.3
Multifamily,1989,97642,100,10086.7,0.9,1068866.2,119
Multifamily,1962,162384,100,5710.6,0.7,741153.2,76.8
Multifamily,1990,64198,100,2771.5,0.5,306497.4,62.3
Multifamily,1956,295080,100,15085.9,0,2801544.9,95.6
Multifamily,1961,140438,100,4587.1,0,743032.4,73.4
Multifamily,1961,56064,100,1872.4,0.4,255676.5,52.2
Multifamily,1964,208328,100,10860.9,0,1362156.6,80
Multifamily,2005,180466,100,7285.5,0.7,2349245.7,109.4
Multifamily,1996,257974,100,11174.8,0.7,2482133,102.9
Multifamily,1956,115008,100,4299,0,552628.5,76
Multifamily,1962,212923,100,9179.3,0.5,1103484.9,68.7
Multifamily,1968,177586,100,9338.4,0,1339708.1,83.9
Multifamily,1959,86000,100,3022.2,0,443729,92.8
Multifamily,1929,116751,100,3880.9,0.7,565611.6,79.4
Multifamily,1986,148905,100,8411.2,0.9,1929291.6,130.9
Multifamily,1974,240068,100,17086.3,1,2592742,137.2
Multifamily,1971,373194,100,12518.6,0.2,3977201.2,49.3
Multifamily,1910,109500,100,3660.2,0.4,590382.3,54.9
Multifamily,1963,189556,100,14934.1,0,1468892.8,55
Multifamily,1986,279805,100,29093.1,1.1,3027215.7,144.7
Multifamily,2004,192192,95,9364.9,0.5,1577084.1,78.6
