bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1986,108016,100,4500.8,0.4,1049277.9,74
Multifamily,1986,234119,100,13158.2,0.8,1886983,98.7
Multifamily,1985,110896,100,4962.4,0.5,797295.4,75.3
Multifamily,1987,512889,100,26127.2,0.6,3685605.5,82.8
Multifamily,1988,196798,100,13055,0.6,2846359.5,98.7
Multifamily,1989,287200,100,11748.2,0.5,2221108.2,76.6
Hotel,2000,451085,100,26929.9,1,13435974.7,170.8
Hotel,2001,509831,95,34352.8,0.1,7071215.3,53.4
Multifamily,1985,251430,95,9540.7,0.5,2136461.1,78.2
Multifamily,2008,495184,100,11874.6,0.4,5596256.9,73.6
Multifamily,2009,315941,100,13220.9,0.7,3946447.5,101.5
Office,2013,361878,100,8859.9,0,5961027.1,72.3
Multifamily,1898,310188,100,9559,0.1,2624383.2,55.9
Office,1902,213300,100,10017.2,0,3236144,77.4
Multifamily,1997,488895,100,16042,0.3,3974991.7,60.8
Multifamily,1926,228121,100,14497.3,0.1,1869974.7,103.8
Office,1907,61250,100,1449.1,0,2060609,82.1
Parking,1960,84810,100,1827.9,2,296787.4,367.8
Multifamily,1827,47510,100,7918.6,0.5,870501.5,95.9
Multifamily,1972,468963,95,864235.7,0.4,5962642.1,74.2
Multifamily,1969,464912,100,12887.4,0,5271022.1,74.7
Office,1968,885474,60,13865.2,0,13728639.4,71
Office,1983,1189698,100,15863.8,0,9940045,57.1
Multifamily,1956,89504,100,6939.7,0.1,1532696.5,113.9
Office,1989,1345237,100,37796.1,0,42885001.3,117.7
Multifamily,1931,813470,100,1419.3,0.1,25188174.5,99.4
Multifamily,1930,279600,100,9902,0.1,3676516,80.4
Multifamily,2002,333600,100,14860.1,0.7,3278610.8,106.1
Office,1915,1858900,95,22500.7,0,25814444.3,65.6
Office,1967,1248923,90,34898.6,0,19277688.3,133
Multifamily,1900,60218,100,239.2,1,865727.6,141.2
Hotel,2009,183235,100,9301.1,0.1,2826378.5,99.2
Office,1972,2294059,85,32757.1,0,42443038.1,98.1
Office,1924,801685,100,30979.6,0,14221425.8,111.3
Multifamily,2000,636074,100,30812.9,0.7,5162834.9,92.4
Office,1982,600000,100,25109.4,0,11510291.4,80
Multifamily,1900,52005,95,1536.3,0.2,313713.7,38.2
Multifamily,2009,51895,100,1648,0.4,482035.5,58
Multifamily,2000,142626,100,6749.4,0.8,629974.6,94
Multifamily,2003,388596,100,19344.6,0.4,4667916,108.2
Multifamily,1926,156712,95,7011.3,0.4,1801764.7,72.1
Multifamily,1900,79470,100,3885.4,0.4,925463.1,80
Multifamily,2006,505382,100,18037.8,0.6,4871605.1,88.6
Multifamily,1901,73779,100,1601.7,0.6,498926.3,74.1
Multifamily,1900,100369,100,3487.3,0.6,986006.3,80.1
Multifamily,1960,478888,100,23940.9,0,1682292.6,72.3
Office,1926,213484,100,4926,0.1,2414143.4,78.9
Office,1983,1149222,100,16237.6,0,20350341.1,89.3
Multifamily,2001,46332,100,1144.5,0.5,478242.1,82.5
Multifamily,1906,112500,100,2856.9,0.5,721731.7,66.1
Multifamily,1985,58196,100,3913.4,0.2,908192.9,64
Multifamily,1915,69000,100,1271.7,0.5,333977.9,60.4
Multifamily,1997,118968,100,3561.8,0.4,988921.1,106.2
Multifamily,1988,57567,100,2910.7,0.6,577702.7,88.8
Multifamily,1931,87324,100,4509.3,0.4,1290732.5,79.8
Multifamily,1910,111592,100,4089.6,0.5,1032008.7,74.5
Multifamily,1910,69830,100,2786.5,0.3,611700.7,57.3
Multifamily,1929,51508,100,1801.4,0.8,300034.4,94.5
Office,1930,816395,100,10246.4,0,92762190.1,310
Office,1900,54036,100,1027.7,0.5,401524.5,54.6
Office,1904,250564,100,3941.1,0,2455295.8,55.2
Multifamily,1990,477429,100,16599.7,0.7,4033548.9,96.9
Multifamily,1964,306802,100,1186.1,0,1381785.8,89.1
Multifamily,2003,231894,100,14400.6,1.1,3181378,142.3
Multifamily,1920,88784,90,2418.5,0.3,2877163.8,129.9
Multifamily,1990,144375,100,9539.2,0.1,1260389.7,35.8
Multifamily,2007,91412,100,3818.4,0.4,1231492.2,82.4
Multifamily,2007,236534,95,14115.4,0.6,3386766.8,102.2
Multifamily,1920,66834,100,4951.4,0.5,1616050.6,102.2
Multifamily,1920,71550,100,1506.6,0.6,344899.4,75.1
Office,1920,80149,100,1417.7,0.4,1991760.3,118.9
Multifamily,2009,48000,100,2428.2,0.5,894508.9,98.7
Multifamily,1985,73954,100,1371.2,0,384800.1,77.8
Multifamily,1915,84100,100,2940.4,0.3,938056.7,65.5
Office,1915,45519,100,1965.1,0.5,940772.3,112.8
Office,1930,133010,100,6188.6,0.2,2853029.5,147.8
Hotel,2005,75000,100,8228.6,1.2,2383502.7,216
Multifamily,1985,79804,100,11820.2,0.8,1037754.3,110.4
Office,1956,46200,100,3186.1,0.9,1659507.8,183.1
Multifamily,1915,70771,100,2615.1,0.6,1049434.7,103.8
Multifamily,1999,80366,100,8329.8,0.2,1648572.2,69.1
Multifamily,1985,59496,100,5486.9,0.1,767869.9,101.5
Multifamily,1985,87719,100,2626.4,0.4,792024.2,59.9
Multifamily,1905,163242,100,5096.6,0.3,2308290.3,75.2
Multifamily,1985,125637,100,3208.9,0.1,1454076.9,47.9
