ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,317625,2005,100,103.9,246021.5,3024530.3,11922.5
Multifamily,438579,1999,100,94.6,313142.7,3323990.5,18158.2
Multifamily,190354,2000,100,104.5,107351.6,3342436,11591.4
Multifamily,197941,1985,100,75.2,110071.1,1397264.8,9471.8
Multifamily,108016,1986,100,74,50502.3,1049277.9,4500.8
Multifamily,234119,1986,100,98.7,177730.8,1886983,13158.2
Multifamily,110896,1985,100,75.3,60099.3,797295.4,4962.4
Multifamily,512889,1987,100,82.8,330258.7,3685605.5,26127.2
Multifamily,196798,1988,100,98.7,131535.9,2846359.5,13055
Multifamily,287200,1989,100,76.6,159092.3,2221108.2,11748.2
Hotel,451085,2000,100,170.8,545190.3,13435974.7,26929.9
Hotel,509831,2001,95,53.4,30731,7071215.3,34352.8
Multifamily,251430,1985,95,78.2,122502.6,2136461.1,9540.7
Multifamily,495184,2008,100,73.6,195692.5,5596256.9,11874.6
Multifamily,315941,2009,100,101.5,255289.4,3946447.5,13220.9
Office,361878,2013,100,72.3,4004.7,5961027.1,8859.9
Multifamily,310188,1898,100,55.9,34966.9,2624383.2,9559
Office,213300,1902,100,77.4,3239.1,3236144,10017.2
Multifamily,488895,1997,100,60.8,158410.7,3974991.7,16042
Multifamily,228121,1926,100,103.8,35481.5,1869974.7,14497.3
Office,61250,1907,100,82.1,81,2060609,1449.1
Parking,84810,1960,100,367.8,11734.9,296787.4,1827.9
Multifamily,47510,1827,100,95.9,32250.3,870501.5,7918.6
Multifamily,468963,1972,95,74.2,186688.2,5962642.1,864235.7
Multifamily,464912,1969,100,74.7,322,5271022.1,12887.4
Office,885474,1968,60,71,0,13728639.4,13865.2
Office,1189698,1983,100,57.1,8684.3,9940045,15863.8
Multifamily,89504,1956,100,113.9,13028,1532696.5,6939.7
Office,1345237,1989,100,117.7,22169,42885001.3,37796.1
Multifamily,813470,1931,100,99.4,57118.8,25188174.5,1419.3
Multifamily,279600,1930,100,80.4,14326.6,3676516,9902
Multifamily,333600,2002,100,106.1,248363.6,3278610.8,14860.1
Office,1858900,1915,95,65.6,21501.7,25814444.3,22500.7
Office,1248923,1967,90,133,5448.9,19277688.3,34898.6
Multifamily,60218,1900,100,141.2,64896.1,865727.6,239.2
Hotel,183235,2009,100,99.2,9687.8,2826378.5,9301.1
Office,2294059,1972,85,98.1,17396.7,42443038.1,32757.1
Office,801685,1924,100,111.3,19326,14221425.8,30979.6
Multifamily,636074,2000,100,92.4,433523.2,5162834.9,30812.9
Office,600000,1982,100,80,11008,11510291.4,25109.4
Multifamily,52005,1900,95,38.2,10000.7,313713.7,1536.3
Multifamily,51895,2009,100,58,23160.7,482035.5,1648
Multifamily,142626,2000,100,94,114577.2,629974.6,6749.4
Multifamily,388596,2003,100,108.2,152669.2,4667916,19344.6
Multifamily,156712,1926,95,72.1,58745.1,1801764.7,7011.3
Multifamily,79470,1900,100,80,34873.7,925463.1,3885.4
Multifamily,505382,2006,100,88.6,308922.4,4871605.1,18037.8
Multifamily,73779,1901,100,74.1,46614.4,498926.3,1601.7
Multifamily,100369,1900,100,80.1,62597.5,986006.3,3487.3
Multifamily,478888,1960,100,72.3,18681.5,1682292.6,23940.9
Office,213484,1926,100,78.9,23428.8,2414143.4,4926
Office,1149222,1983,100,89.3,5081.9,20350341.1,16237.6
Multifamily,46332,2001,100,82.5,27051.3,478242.1,1144.5
Multifamily,112500,1906,100,66.1,61081,721731.7,2856.9
Multifamily,58196,1985,100,64,17907.4,908192.9,3913.4
Multifamily,69000,1915,100,60.4,33577,333977.9,1271.7
Multifamily,118968,1997,100,106.2,50993.8,988921.1,3561.8
Multifamily,57567,1988,100,88.8,41472.5,577702.7,2910.7
Multifamily,87324,1931,100,79.8,33186.7,1290732.5,4509.3
Multifamily,111592,1910,100,74.5,52831.1,1032008.7,4089.6
Multifamily,69830,1910,100,57.3,25621.2,611700.7,2786.5
Multifamily,51508,1929,100,94.5,45572.3,300034.4,1801.4
Office,816395,1930,100,310,0,92762190.1,10246.4
Office,54036,1900,100,54.6,44848.5,401524.5,1027.7
Office,250564,1904,100,55.2,12.8,2455295.8,3941.1
Multifamily,477429,1990,100,96.9,324861.7,4033548.9,16599.7
Multifamily,306802,1964,100,89.1,9042.9,1381785.8,1186.1
Multifamily,231894,2003,100,142.3,265108.9,3181378,14400.6
Multifamily,88784,1920,90,129.9,27945.3,2877163.8,2418.5
Multifamily,144375,1990,100,35.8,7397,1260389.7,9539.2
Multifamily,91412,2007,100,82.4,36160.4,1231492.2,3818.4
Multifamily,236534,2007,95,102.2,137218.6,3386766.8,14115.4
