ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,110523,1927,100,67.7,6804.1,538581.1,5799.7
Multifamily,49425,1986,100,93.9,35966.9,482923,2378.1
Multifamily,157952,2010,100,107,71399.2,4343608.1,7344.4
Multifamily,106439,1927,100,56.7,33571,851199.9,6376003.1
Multifamily,158147,1925,100,58.6,73478,545075.5,3458.2
Multifamily,273684,1926,100,36.9,46367.2,1682404.3,6561.9
Multifamily,394633,1904,100,132.6,566096.7,4120035.5,20945.5
Multifamily,69273,1928,100,70.9,688.5,1507522.1,2690.2
Multifamily,113500,1954,100,71.9,61952.8,556787.3,2757.3
Multifamily,75312,1923,100,56.9,370.7,76685.8,2713.8
Multifamily,94525,1922,100,87.7,53803.7,950588.1,2396
Multifamily,81821,1924,100,66.1,44295.4,276398.7,3489.8
Multifamily,51600,1903,100,97.6,13931.1,176245.8,1400.4
Multifamily,205908,2011,100,50.5,20655.6,3408911.2,5439.8
Multifamily,165000,1925,100,90.1,552.1,1499999.4,7038.4
Hotel,111480,1910,100,124.9,141313.5,601687.5,22736.5
Multifamily,236789,2008,100,103.2,172972.4,4316688.8,15150.1
Multifamily,108000,1923,100,77,68225.8,592886.6,4717
Multifamily,132000,1929,100,20.1,17461.2,267518.1,628795.4
Multifamily,61672,1926,100,63.9,1052.9,211624.6,1843.2
Education,75395,1967,100,55.6,31232.9,364073.5,771.7
Education,67810,1914,100,75,38252.5,405300.5,844.9
Multifamily,87000,2008,100,77.6,32188.5,1028562.6,2225.6
Multifamily,202927,1895,100,35.7,55542.4,812383,13571
Multifamily,69337,1926,100,69.4,1249.4,292828.6,1929.2
Multifamily,354000,1975,100,48.7,112322.1,1750106.2,9678.3
Multifamily,605850,1999,100,67.2,199801.9,4479763.7,25798.1
Multifamily,578069,1998,100,92.3,414098.8,4571817.8,24676.3
Multifamily,528466,2001,100,98.6,417735.9,3748324.8,18438
Multifamily,356713,2003,100,94.7,271526.7,2884596.7,14131.5
Multifamily,740377,1999,100,74.9,420532.3,4495357.3,22620.3
Multifamily,447049,2004,100,77.9,218382,3820524.9,8145.3
Multifamily,292120,2004,100,112,236022.3,3192807.4,13078.2
Multifamily,640641,2009,100,66,238256.7,5396922.8,21611.9
Multifamily,478828,2009,100,72.2,145484,5271619.5,14560.8
Multifamily,258974,1963,100,61.2,6097.6,1781476.9,9462.1
Multifamily,113128,1930,100,100.5,3733.2,646843.5,6344.2
Multifamily,113062,1926,100,100.2,3014.8,625850.5,5814
Office,45030,1917,100,133.1,1195.9,259779.3,0
Multifamily,143554,1925,100,60.4,70300.3,622708.2,6448.6
Multifamily,107376,1924,100,63,56055.4,465351.3,2798.5
Multifamily,211600,1929,100,61.8,2736.2,683555.5,5264.7
Multifamily,237816,1926,100,42.9,82491.1,792854.3,4245.2
Multifamily,57000,1936,100,37,2281.8,529699,3766.4
Multifamily,79629,1930,100,64.1,5091.9,332099,2226.2
Multifamily,209664,1928,100,25.1,568.9,748234,5986.7
Multifamily,100779,1925,100,58.2,1423.5,395716.3,2719.2
Multifamily,86236,1948,100,68.4,1877.1,387399.6,2780.9
Multifamily,85968,1925,100,70.8,52755.6,354794.7,1617.3
Multifamily,210000,1930,100,55.2,29150.9,918887.9,5320.9
Multifamily,172225,1924,100,75.4,3975,863808.7,5483.2
Multifamily,148000,1926,100,70.5,91994.7,579626.6,4137.5
Multifamily,65600,1926,100,64.6,35766.8,285959.1,1647.6
Multifamily,185471,1963,100,39,47731.8,696143.3,6781.8
Multifamily,71578,1907,100,81.9,15595.6,252644.6,1472.9
Multifamily,103168,1905,100,71,61468.4,365454.1,6648.4
Hotel,123075,1923,100,151,24955.2,1498058.4,13097.2
Multifamily,69707,1914,100,18.6,799.4,345377.2,1538.7
Multifamily,116041,1927,100,62.3,1876.6,421632.3,3493.9
Multifamily,536418,1929,100,41.2,193199.4,1422408.8,8124.6
Multifamily,630643,1992,100,82.3,451958.6,3214967.4,12951.1
Multifamily,55120,1918,100,54.7,12495,54948.7,1463.3
Multifamily,59825,1916,95,72.3,40511,201861.8,2363.1
Multifamily,260412,1926,100,65.7,8565.4,1463391.8,6969.6
Multifamily,56949,1911,100,73.8,1419,256273.8,2008.5
Multifamily,145940,1929,100,70,81285.3,1045045.8,5447.1
Multifamily,242000,1926,100,53.4,106642.8,1080071.8,4588.6
Multifamily,60749,1924,100,81.8,45478.9,216441.1,4895.3
Multifamily,246436,1930,100,65.6,3585.1,990247.7,9727.1
Multifamily,70642,1925,100,60.2,37589.3,249828.4,1761.3
Multifamily,108503,1929,100,14.9,1633.4,432380.9,2771
Multifamily,88724,1926,100,68.9,50928.3,350798.6,2908.9
Multifamily,70144,1927,100,88.8,1472.9,377795.7,4833.2
Multifamily,112293,1927,100,77.9,3171.7,481597,5196
Multifamily,130292,1929,100,62.6,75027.2,473309.4,3522.5
Multifamily,116021,1937,100,80.9,1859,465593.3,5475.7
Multifamily,258000,1928,100,56.8,110382.1,1306595.6,7397.9
Multifamily,239797,1931,100,70.5,153686.2,1024132.7,7090
Multifamily,221760,1983,100,59.5,112988.2,980747.1,10899.5
Multifamily,177679,1906,100,67.9,96962.7,972280.3,4547.8
Multifamily,224531,1968,100,27.1,5387.3,1585997.4,11773.6
Multifamily,137641,1940,100,72,80030.8,604300.4,4862.2
Multifamily,210207,1968,100,75.4,5332,936299,15071
Multifamily,131341,1931,100,61.9,2147.5,456294.5,4786.8
Multifamily,109769,1911,100,70.1,948.7,501927.6,154259.4
Multifamily,349345,1931,100,67.3,201876.5,1512830.3,11359.9
Multifamily,55535,1951,100,69.5,34361.2,203057.6,1635.2
Multifamily,105625,1970,100,62.2,29091.8,386590.3,3289.2
Multifamily,140380,1926,100,58.6,69493.9,547611.5,2800
Multifamily,101658,1929,100,81.1,58483,687022.7,4018.5
Multifamily,285850,1967,100,74.9,10290.9,1860850.6,15859.9
Multifamily,58000,1920,100,44.7,1095.9,148561.1,1766.2
Multifamily,176618,1917,100,48.1,5368.5,773416.4,4647.4
Multifamily,215984,1929,100,59,108928.9,835779,5180.3
Multifamily,328688,1970,100,79.9,223901.8,1460285.4,14732.9
Multifamily,115910,1929,100,55.5,23968.8,376624.6,3000.4
Multifamily,69305,1912,100,83.4,1440.2,256764.6,3778
Multifamily,52290,1992,100,76.6,28952.6,436429.9,1461.7
Multifamily,106521,1927,100,38,637,1119005.4,4878.3
Multifamily,55471,1911,100,73.4,35195.9,237280.6,1963.6
Multifamily,82720,1926,100,71.1,47001.3,354198.4,3438.3
Multifamily,62852,1928,100,107.5,1049,560946,2319.4
Multifamily,59704,1914,100,70.8,37535.2,247702.2,1895.6
Multifamily,124898,1926,100,67.5,66239.6,674365.8,3921.3
Multifamily,70000,1930,100,54.9,41579.4,34080.4,2330.2
Multifamily,186626,1889,100,80,101466.4,1871435.6,9030.5
Multifamily,64429,1931,100,91.4,1084.6,256112.2,2028.7
Multifamily,65360,1948,100,63.2,4415.1,226763.9,2497.7
Multifamily,69125,1926,100,65.1,36539.1,329762.8,2654.8
Multifamily,66614,1925,100,99.1,1420.5,299377.8,2107.6
Multifamily,99404,1928,100,15.1,2202.9,379706.1,3174.3
Multifamily,95823,1923,100,66,56733.5,407931.2,2769.3
Multifamily,96724,1929,100,60.8,44083,421727.6,4228.7
Multifamily,71500,1998,100,87.7,46882.1,623618,1868.3
Multifamily,79513,1914,100,53.2,1429.8,255266.7,2051.6
Multifamily,67334,1914,100,57.7,1014.4,310903,1270.2
Multifamily,101010,1930,100,17.8,2246.4,461670,4753.8
Multifamily,59408,1914,100,65,33703.7,225602.4,1536.1
Multifamily,128343,1986,100,62.5,53483.7,1051961,3651.2
Multifamily,146491,1986,100,89.1,4101.8,1764821.3,8320.6
Multifamily,143000,1923,100,22.8,24457.6,309469.5,0
Multifamily,61050,1990,100,86.4,36311.9,541648.5,2244.5
Multifamily,170023,1974,100,99.2,135014.1,1127857.1,10367.4
Multifamily,187110,1970,100,68.8,48315,2890689.2,9235.4
Multifamily,151000,1926,100,62.6,73634.4,810989.5,4804.7
Multifamily,55008,1925,100,45,17881.9,193896.6,2105.8
Multifamily,235056,1928,100,74.7,156620.1,1043069,9563.5
Multifamily,472477,1966,100,44.3,194309.1,1157959.8,10174.2
Multifamily,61404,1925,100,61.7,1379.7,192176,1661.8
Multifamily,61800,2001,100,77,1757.5,226081,605.2
Multifamily,252831,1986,100,71.5,30069.2,1725182.4,7492.5
Multifamily,81030,1926,100,69,1400,311663.5,3025.9
Multifamily,200066,1929,100,64.1,2684.3,893026.2,4626.7
Hotel,111270,1903,100,100,72183.1,1201790.2,11113.9
Multifamily,85942,1916,100,79.2,1412,321070.2,1994.7
Multifamily,292623,1985,100,77.4,174335.8,1859762.7,9882.5
Multifamily,115553,1987,100,80.8,68847.3,1651724.8,6997.3
Multifamily,100000,2000,100,117.2,2369.3,700578.4,5985.2
Multifamily,161929,1923,100,80.9,2977,788430,8783
Multifamily,165936,1913,100,55.6,77456.8,658529.4,4108.8
Multifamily,61250,1910,100,185.5,917.3,452088.1,3521.7
Multifamily,85929,1927,100,81.6,57359.8,470354.5,3699.1
Multifamily,459259,1987,100,29.1,7251.9,3592875.3,14043.2
Multifamily,104800,1925,100,60.3,33600.2,1051803.5,3575.7
Multifamily,65031,1900,100,71.8,38859.7,225430.8,2154.7
Multifamily,69072,1923,100,67.7,1268.6,296107.8,2006.3
Multifamily,150806,1932,100,61.6,62922.8,967690.6,6040.8
Multifamily,80328,1924,100,61.1,41909,318286,1970.2
Multifamily,125000,1903,100,129.8,99443.4,2331978.2,19020
Multifamily,248628,1903,100,95.3,5,1345994.3,19896.3
Multifamily,105772,1929,100,56.6,2750.7,447926.6,3807.6
Multifamily,352821,1931,100,59.2,188437.3,1326116.4,13753
Multifamily,75367,1912,100,80.9,52462.9,411348.8,2019
Multifamily,70563,1986,100,54.8,35018.8,186252.9,2311.4
Multifamily,470720,1987,100,68.2,2758.5,3757075.2,18172.7
Multifamily,71126,1913,100,73.7,47149.1,281621.3,2375.1
Multifamily,54000,1900,100,108.8,8657.6,360030.8,2416.2
Multifamily,255393,1984,100,82.4,45591.8,2268696.3,9369.4
Multifamily,148250,1920,100,55.7,2065,501683.5,4956.9
Multifamily,42734,1910,100,142.3,51997.3,760352.9,4771.8
Multifamily,69025,1922,100,66.9,1188.2,237587,3316.9
Multifamily,164530,1924,100,68.6,71698,1185958.7,6433.3
Multifamily,96058,1923,100,72,47115.9,627410.6,3976.3
Multifamily,76626,1915,100,115.8,17143.1,455494,4116.5
Multifamily,157606,1986,100,82.4,2302.5,1058514.5,7422.9
Multifamily,117470,1910,100,54.3,53396.5,433846.2,3447
Multifamily,167416,1925,100,52.4,3748.4,863750.8,5035.3
Multifamily,153178,1925,100,93,108060.6,1202863.2,7395.3
Multifamily,177048,1912,100,83.6,123474.7,930517.5,10600.3
Multifamily,153253,1985,100,89.3,13982.8,1255946.1,6673.8
Multifamily,90827,1920,100,115.6,35096.2,738673.7,6171.4
Multifamily,189237,1923,100,53.4,65760.5,1465053.6,40127.7
Multifamily,141034,1917,100,70,82040.7,751955,7160.5
Multifamily,62878,1920,100,132.3,7483.5,472393.5,1065.2
Multifamily,72431,1926,100,74.7,1349.1,430935.4,2288.3
Multifamily,223179,1924,100,76.7,3392.5,881855,6705.5
Multifamily,58515,1934,100,76.1,40533.3,468115.5,2173.5
Multifamily,199483,1927,100,49.8,4093,726570.8,4922.9
Multifamily,162540,1917,100,46.3,63546,501561.2,3423.1
Multifamily,277209,1925,95,56.1,133934.6,1121579.9,8502.8
Multifamily,51152,1900,85,81.2,37177.2,211388.3,2165.5
Hotel,191868,1916,100,102.1,117131.7,2567680.1,17355.6
Multifamily,99494,1927,100,69.3,52023.4,485646.5,3103.7
Multifamily,56778,1948,100,81.8,1698,374885,758.9
Multifamily,210773,1929,100,63.5,3556.6,789198.9,5990.5
Multifamily,172368,1938,100,58,85590.9,629077.1,4254.9
Multifamily,118935,1911,100,59.7,60861.7,423625.3,2622.8
Multifamily,100435,1929,100,64.2,1692.4,428067.5,4634.6
Multifamily,83154,1907,100,105.6,72601.4,454942.2,10164.1
Multifamily,133762,1909,100,47.4,51783.7,498173.7,3052.1
Multifamily,183821,1920,100,54.3,86991.4,661480.7,5921.6
Multifamily,52194,1924,100,71.2,22293.9,217359.6,1615.8
Multifamily,73000,1950,100,69.6,7675.4,323937.1,2093.2
Multifamily,211971,2010,100,71.8,67695.6,2631858,4733.1
Multifamily,387960,1939,100,84.4,206783,1613306.9,11020.3
Multifamily,171126,1926,100,148,189142.4,2267646.4,13896.7
Multifamily,88165,1926,100,43.7,1778.3,359571.9,2485.2
Multifamily,106395,1926,100,65.9,24363.9,404675.4,2927.9
Multifamily,64968,1925,100,89.7,490.1,256406.8,2592.6
Multifamily,158195,1924,100,74.4,1961.8,685759.6,3874
Multifamily,238000,1940,100,108.8,14859,2699705.8,25930.8
Multifamily,155906,1938,100,62.9,84637.2,593642.5,4247
Multifamily,110000,1915,95,64.4,6002.7,545146.2,3608.9
Multifamily,87129,1930,100,49.2,1534.7,347950.8,2353.4
Multifamily,95958,1985,100,88.1,1607.5,311747.3,3256.3
Multifamily,207513,1927,100,67.7,121638.5,924129.7,6438.6
Multifamily,78611,1925,100,75,754,336920.5,2243.6
Multifamily,53190,1922,100,105.5,997.1,337419.6,2409.5
Multifamily,239764,1922,100,55.9,106108.1,786290.2,5756.3
Multifamily,162140,1913,100,49.6,20724.4,516548.8,4340.6
Multifamily,64000,1920,100,88.6,40733.4,542558.7,4733.6
Multifamily,78725,1901,100,93.7,16695.2,277979.3,2556.8
Multifamily,102791,1904,100,73.4,2614,645396.2,335115.3
Multifamily,75468,1925,90,83,1922.9,360510.7,40.7
Multifamily,153339,1929,100,65.1,4224,520778,6089.9
Multifamily,76290,1900,100,88.5,57918.9,364409.7,2079.4
Multifamily,224000,1951,100,47.8,90735.5,746965.2,5226.6
Hotel,63360,1910,100,84.8,49818.3,221990.1,5393.8
Office,1497125,1971,85,113.1,44101.2,27365167.9,29849.4
Hotel,92400,1898,95,158.6,11232.9,2374963,7813.6
Hotel,63860,1962,100,424.7,219408.7,1518335.2,9229.4
Office,67132,1890,100,7.7,238.5,143308.4,377
Office,150651,1922,100,127.2,3273.6,2280993.3,4566.1
Office,536391,1896,100,59,9349.9,7312568.4,8537.2
Office,266058,1917,95,89.2,37.2,4732394.6,8079
Office,62400,1922,85,63.7,610.2,652574.8,715.6
Office,64690,1913,100,110.2,14918,1083966.4,4947.1
Hotel,107116,1900,90,68.9,1406,1219457.9,12636.1
Office,55138,1936,100,96.9,32167.6,760221.9,696.5
Office,159559,1925,100,71.2,50221.1,2247012.4,4141.8
Office,91515,1928,100,81.4,283.3,1557539.6,5990.3
Office,101422,1927,100,76.6,390.3,1413520.3,4129.2
Office,58996,1932,100,109.6,3342.8,1191261.8,2574.8
Office,343328,1927,100,80.3,22.4,7705171.7,18520.3
Office,68667,1964,90,91.2,14985.8,1341608.4,1554.9
Office,63022.4,1918,100,47.8,2437.3,797237.4,966.3
Office,58200,1930,100,135.6,18053.9,1002200.2,3142.7
Office,118134,1930,100,148.8,49149.6,2566472.3,9290.3
Office,65120,1926,95,130.5,21703.3,2163257.1,3743.3
Office,1903582,1963,100,108.3,23411.8,33711093.5,66664.5
Hotel,103429,2007,90,88.4,34591.1,1696399.8,4459.1
Hotel,64727,2009,90,50621.6,3233,124533.7,3407.4
Hotel,200000,1899,100,70.4,18814.4,3571096.2,155.6
Hotel,272104,1902,100,162.8,25632.3,6662958,18490.1
Office,533545,1964,100,102.3,0,7455272,11273.1
Multifamily,180000,1963,100,95.1,3485.9,926009.4,3506.3
Hotel,57707,1999,100,176.9,50667.3,1555459.8,6239.5
Office,61971,1926,100,117.9,21842.6,1267793.8,6280.8
Office,111008,1928,100,134.1,53493.3,2656143.4,9193.2
Multifamily,122528,1926,100,108.3,79815.1,1759108.2,5168.3
Hotel,254829,1990,100,64.7,27844.3,4041154.5,18427
Multifamily,55300,1926,100,82.6,44879.4,261513.4,1363.7
Multifamily,80293,1901,100,201.7,27292.3,1503045.8,13920.5
Hotel,74485,1990,100,145.9,80267.8,946985.8,8733
Office,57653,1913,100,72.6,30.3,564918.3,712
Office,121086,1918,100,88,75565.3,1183140.6,7099.6
Office,868350,1948,100,69.4,17386,13209124.1,16621
Hotel,67140,1910,100,123.2,43241.4,1146731.7,6160.2
Office,629814,1981,100,138,1016.3,18302130.6,23757.3
Office,1111437,1928,100,71.3,23416.5,11055059.1,21740.9
Office,149292,1917,100,99.6,3422.6,2173612.8,5532.3
Office,1047403,2003,100,113.6,5944.9,27583319.7,1825.8
Office,156989,1916,100,89,5863.1,1892574.7,7738.2
Office,446650,1928,100,80.2,16841,6280802.2,11873.8
Office,750000,1921,100,47.5,6482.5,10185856.5,12179
Office,1315485.8,1928,100,78.2,93,19785703.9,23933.9
Hotel,678297,1924,100,108.6,540491.7,6272949.8,15871.1
Office,100110,1920,80,60,4635,1624365.6,2395
Office,87016,1958,95,91.1,39463.3,1253721.9,4348.9
Office,598058,1984,80,88.4,8259,8179561.1,8429.4
Office,755800,1955,100,63.7,9452.6,8619205.1,13431.3
Hotel,893750,1980,100,181.7,825292.4,10416473.9,65366
Office,82576,2015,5,61.2,11503.2,1144078.1,924.3
Office,353275,1986,100,101.3,10540.7,8963320.2,7364.2
Hotel,230654,1926,100,81.1,17809.9,4979498.4,19956.6
Office,342160,1932,100,72.2,6907.7,5232918.6,13441
Office,60063,1912,100,100.1,11723.7,1955980.8,2801.4
Hotel,428000,1904,100,169.5,50356,8308936.8,39194.6
Office,352951,1957,100,179.4,276911.8,7501197.4,12209.1
Office,51387.3,1900,100,137,36328,1463359.7,1260.5
Multifamily,111310,1916,100,102.9,750,717043.5,2248.6
Office,291943,1929,100,70.3,14718.9,3665995.6,6555
Office,559405,1923,100,75.1,61380.5,10805837.9,17832.8
Office,577266,1987,100,80.6,10165.9,11724303.1,16421.3
Hotel,72307,1952,100,83.7,19556,1193765.4,808062.5
Multifamily,55090,1915,100,153.6,847.1,1093271.7,5674.7
Hotel,112951,2013,90,74,31457.3,1573563.5,4124.2
Office,935359,1929,90,99.3,13610.6,18483816.2,72902.9
Office,1563231,1967,100,114.1,11398.2,32038502.3,24339.5
Office,743901,1958,100,96,8850,11295570.2,13352.7
Hotel,96000,1929,100,109,43316.1,1852975.4,5749.7
Hotel,275000,2013,90,124.8,0,3427349,33131.5
Office,251895,1984,90,75.8,20305.6,8883240.7,10482.1
Multifamily,62700,1923,100,56,25542.3,253844.2,1889.6
Hotel,410257,1924,100,127.4,323029.7,6308978.1,27460
Hotel,350000,1990,100,76.8,23149,7081106.5,148373
Hotel,1600000,1930,100,125,73844.8,25114359.4,122578.6
Hotel,157462,1927,100,125.3,23028.1,2189102.7,8319.1
Office,150950,1958,95,108,23288.6,3436024,3088.7
Hotel,424661,1960,100,73.3,11267.9,5020606.1,44726.8
Office,1800524,1969,100,143.8,15467.2,35954115.7,34783.9
Office,614793,1958,80,77.6,10980.4,9783256.7,6304.6
Multifamily,66386,1929,100,75.2,2867.9,427889.3,13574.1
Multifamily,216541,1956,100,73.7,111989,1645545.6,8995.2
Multifamily,96547,1916,100,65.3,1461.6,621932.1,2573.4
Hotel,247600,1927,70,56.3,34440.5,2971451,11330.9
Multifamily,110703,1940,100,44.5,2175.6,333120.1,3180.6
Hotel,68308,1927,100,81.9,8178,962629.1,609351
Hotel,111084,1920,90,122.9,69891.1,2080712.2,6985.5
Multifamily,129049,1960,100,69.6,58046.7,1037149.7,6781.1
Multifamily,217259,1910,100,88.1,6088.7,1962247.1,5108.9
Office,905021,2003,100,145.1,23968.5,48564998.5,79306.3
Multifamily,404293,1977,100,76.2,29372.9,2331092,18280.9
Office,916603,1962,95,100.3,25019.7,15204976.4,26623.6
Hotel,468907,1981,100,159.4,554076.1,5377968.6,26084
Office,318952,1905,100,76,3371.4,4252100.2,5253.7
Office,730547,1960,100,119,13162.6,11550716.6,19175.1
Office,148478,1932,100,91.7,35805.4,1986543.5,4382
Office,624835,1960,90,68,2981.1,8637015.1,13440.2
Multifamily,206872,1986,100,45.3,2246.1,1189605.4,7537.1
Office,201052,1929,100,75.1,15442.2,3188583.9,3658.5
Other,156626,1928,100,167.8,1414.2,5661870.9,2137.4
Office,185997,1929,100,99.1,32.9,4662065.4,2903.4
Multifamily,102877,1986,100,62.2,4699.8,714313.3,1147.5
Multifamily,60900,1970,100,87.4,1975.6,338001.5,2678.6
Entertainment,87168,1931,100,156.7,17757.2,2826782.7,14462.3
Multifamily,85245,1956,100,74.9,2077.6,476150.2,4023
Multifamily,228085,1979,100,96.1,25728.4,1741311,10000.7
Office,743668,1974,95,78.5,0,10976969.3,6841.6
Multifamily,71992,1928,100,87.3,795,431329.4,3362.1
Multifamily,51576,1923,100,153.9,77183.7,257795.4,2367.6
Office,252324,1981,100,93.1,62531.4,5231019.7,3889.3
Multifamily,164629,1959,100,103,24968.5,1150408.9,10125.6
Multifamily,72409,1927,100,46.4,26.9,435258.4,2407
Hotel,71925,1931,100,130.7,2689,1113789.6,11382.4
Multifamily,230470,2008,100,58.2,52172.6,2582347.2,5925.8
Multifamily,115020,1962,100,88.8,82883,729176.2,5971
Multifamily,146549,1957,100,76.2,78750.4,1075515.8,8307.9
Multifamily,243473,1990,100,95.8,126018.9,4103782.8,15421.1
Multifamily,320280,1977,100,104.4,278308.3,2652189.5,19724.6
Office,1289108,1970,100,117.3,1887,23664444.6,40996.2
Multifamily,87090,1940,100,86.4,53421.9,627308.3,4136
Multifamily,82462,1959,90,52.8,15304.7,906144.9,7423.2
Multifamily,361516,1963,100,104.9,295577.1,2732545.2,14174.1
Multifamily,408812,1929,100,92,320871.9,2538955,22357.7
Multifamily,126898,1906,100,92.6,106834.6,669414.9,8666.8
Multifamily,110934,1929,100,80.8,78824.1,523004.9,4584.5
Multifamily,239849,1928,100,99.1,71560.8,1137987.6,13982.6
Multifamily,215715,1927,100,98.8,55217.9,1172899.3,15766.6
Multifamily,117055,1983,100,74.1,68415.9,800606.9,7131.2
Office,210000,1921,100,66,83337.4,1725495.3,2369.1
Office,325852,1950,100,68.9,43.1,5551180.3,2821.7
Office,387000,1975,100,96.9,7095.1,9703493.7,18522.9
Multifamily,361638,1977,100,87.3,259898.5,2601256.6,18084.9
Multifamily,137200,1961,100,124.4,150364.2,964671.6,7481.4
Multifamily,192822,1981,100,92.6,126320.7,1766832.5,11659.1
Multifamily,192738,1960,100,62.2,95456.9,925390.7,13677.4
Multifamily,75302,1978,100,123.2,22766,775404.1,4682.8
Parking,62000,1950,0,19.1,1179,322971.9,624.6
Office,150525,1928,100,62.6,22.6,1896340.8,2499.6
Multifamily,62145,1959,100,73.7,7218.8,331712,1775.1
Multifamily,79920,1930,100,81.1,49310.9,410258.8,6239.5
Multifamily,148080,1965,100,94,109407.5,991183.8,3587.7
Multifamily,105961,1940,100,76.6,62893,654010.3,4961.1
Multifamily,71137,1962,100,117.3,1524.2,812567.7,5786.2
Multifamily,137278,1959,95,129.9,137586.7,1425627.2,9705.2
Multifamily,57042,1941,100,80,31875.7,273903,2210.5
Multifamily,68538,1929,100,60.3,1439.5,1171315.9,2644.1
Multifamily,166199,2005,100,141.3,167478.5,2737455.2,6593.3
Multifamily,65000,1959,100,111.3,61651.3,456621.8,3452.9
Multifamily,169376,1928,100,85.5,91403.1,1209105.1,5676.2
Multifamily,101131,1962,100,78.8,2375.5,581459.7,4347.7
Multifamily,95162,1927,100,84.5,38884.7,1304839.1,1697.3
Multifamily,433072,1975,100,125.3,441322.4,4132043.5,27796.1
Multifamily,165122,1982,100,135,162881.2,1896991.4,9951.3
Multifamily,180760,1947,100,68.1,33427.5,1264437.2,6190.1
Multifamily,66000,1982,100,81.9,36618,817551.2,5508.8
Multifamily,98766,1929,100,62.7,1623.7,357150.8,2200
Multifamily,95347,1984,100,104.9,1698,670141.8,5423.2
Multifamily,77102,1930,100,58.3,39225.2,273065.3,2912.9
Multifamily,148534,1927,100,25.9,1668,1033684.7,2926.4
Multifamily,78964,1931,100,108.7,81376,324344.9,2222.5
Multifamily,125000,1930,100,66.2,70928.3,551517.3,1820.8
Multifamily,93993,1930,100,82.9,63704,591746.2,2368.8
Multifamily,98808,1925,100,62.3,638.9,358977.6,2378
Multifamily,83795,1929,100,61.8,1842.1,305431.4,1995.1
Multifamily,86144,1930,100,90.8,63443.2,591746.2,22095.6
Multifamily,88160,1930,100,88.9,64153,591746.2,2446.1
Multifamily,480278,1951,100,75,6978.9,2850149.7,14368
Multifamily,203535,1956,95,68.4,5431.2,990692.9,10498.7
Multifamily,319696,1955,100,75.6,4003.4,1726075.9,8433.5
Multifamily,85610,1956,100,27.2,3071.5,443264.3,3255.3
Multifamily,118121,1956,100,92.5,89078.4,947021.5,5010.1
Multifamily,189312,1983,100,120.6,111169.2,3649264.7,14213
Multifamily,147000,1949,100,71.6,82999.1,848063.8,4376.9
Multifamily,125800,1960,100,109.7,1949.9,866709.9,4763.6
Multifamily,90000,1955,100,93.6,1856,438313.2,2082.6
Multifamily,90000,1955,100,70.2,2139.3,433903.1,2899.4
Multifamily,95977,1961,100,78,56717.1,666600.9,3938.5
Multifamily,136655,1927,100,52.5,1922.3,554162.3,3383.4
Multifamily,93638,1927,100,72.5,60621.2,385755.1,2535.1
Multifamily,105734,1970,100,47.7,2803.2,1464126.1,2926.4
Multifamily,950000,1972,100,126.4,882288,8582632.6,44961.7
Multifamily,548505,1959,100,56.7,242313.4,2695183.7,16933.7
Multifamily,149394,2003,100,61.4,84459.2,443337.8,5644.1
Multifamily,184076,2004,100,134.8,205703.5,1832858.4,13872.3
Multifamily,241005,2007,100,102.3,206288.6,1958742.1,11012.8
Multifamily,126343,2007,100,89.6,83993.3,1017423.1,5785.1
Multifamily,239958,2008,100,68.2,122196.6,1477179.7,10397.1
Hotel,335897,1927,100,133.2,518.2,4603952.6,26913.4
Hotel,57000,1905,100,150.6,16556,1094386.6,60.1
Office,285562,1984,100,66.1,10781.9,4894132.2,5470.9
Office,136733,1928,100,63.7,40519.9,1489439.3,2297.3
Multifamily,98246,1928,100,65.2,540,1069745.4,1960.6
Hotel,320000,1960,100,122.3,242852.2,4791359.2,29434.7
Multifamily,61821,1918,100,73.9,681.7,282173.8,1150.5
Multifamily,52991,1901,100,151.6,66217.1,1119628.7,4523.5
Multifamily,194808,1923,100,55.2,1180.5,1119337.3,3907.8
Multifamily,67561,1924,100,63.8,620.8,472054.7,1062.2
Multifamily,114041,1917,100,62.9,53663.2,635315.5,2062.1
Multifamily,101929,1920,100,13145.4,13355136.5,1262126.4,1878.4
Multifamily,98550,1928,100,75.5,593,1308141.6,5546.1
Multifamily,133340,1949,100,92.3,98359.4,969390.7,6348.5
Multifamily,101231,1924,100,67.8,820.7,458289.1,1708.6
Multifamily,99583,1914,100,69.9,48195,817860.3,2163.4
Multifamily,62196,1941,100,80.5,41375,353814.7,2193.4
Multifamily,286573,1949,100,81.6,165720.2,1691144.6,9327.6
Multifamily,123844,1955,100,80.8,76452.9,864628.9,3255.5
Multifamily,204279,1941,100,70.9,110224.5,1339797.5,4677.6
Multifamily,98016,1913,100,62.5,23407.5,1272451.3,1924.7
Multifamily,66878,1937,100,86.6,480.8,406460.8,1885.1
Multifamily,69540,1937,100,74.1,573.1,281402.2,1169.2
Multifamily,287748,1929,100,25.1,5462.9,2131052.9,11830.4
Multifamily,77073,1951,100,60,37808.7,336227.7,1384.6
Multifamily,60819,1924,100,91.6,41337.1,575998.9,1538.7
Multifamily,143400,1915,100,63.7,70230.4,892435.2,3050.3
Multifamily,74450,1924,100,64.1,689,353482.8,1350.6
Multifamily,69169,1937,100,49.9,468.7,76350.2,1477.4
