Real,Predict
96.5,198.69020062021178
90.6,171.4754215061973
91.7,177.7136759027803
108.6,544.2833710567965
47.3,91.98089764732067
5.6,4.187152440099673
179.4,481.6711359677787
79.5,99.49160711247305
95.4,180.69624400712192
101.3,275.6210156743711
98.6,134.3143657896503
110.3,720.8308516131189
107.0,718.4610899775798
118.5,170.09213866267072
85.0,132.2892486483588
62.7,111.36920108481776
72.7,110.92982954833519
106.4,177.4873027880883
66.0,103.5346676445447
126.0,133.33824783556432
83.6,160.40042295399758
94.8,150.42059198735927
128.7,237.90179034329168
79.6,157.7081144842697
114.1,163.69339403103572
89.1,134.86158774917712
69.4,113.61861085004095
105.4,61.248026620883536
120.2,175.09874016166503
39.0,20.42395398632617
76.9,121.65162395387097
106.3,145.91232288259437
58.7,83.04938483281083
103.1,155.0326318467727
88.7,77.32686403525454
60.5,108.39751383575047
26.9,-165.53025967184843
76.6,127.7619253443859
89.4,77.2821621202123
76.0,118.09868920921392
99.3,146.62973040472266
75.3,123.09520261615057
85.5,147.30803318022683
86.7,140.52857201639011
77.8,118.21721260258076
79.1,134.42584709328548
101.0,174.3496452564901
125.0,113.85754850583419
61.4,73.33607852833849
19.0,12.467361836410852
22.9,55.83778853445161
85.8,-146.70863894246278
70.7,55.18314388755683
12.1,-1.6596477137640235
63.6,119.5512083923503
82.6,163.7814232713065
79.4,128.7702501641468
164.9,116.50112232108964
55.9,59.19555681132579
82.6,126.22703430889362
71.2,42.76294821706296
60.4,108.114736719523
42.2,-309.9777876603729
163.0,147.4326036273311
86.4,79.35041176064513
115.0,155.7652795444608
76.4,153.50952209721447
110.0,163.28226525179687
68.5,122.02850901086703
114.5,72.93907020673609
97.9,251.99045220917424
41.5,78.42626525956163
130.9,253.02922675319675
96.5,141.21527715664678
96.9,172.90940873377446
55.0,73.21191149480592
53.9,3.4975895565417403
63.9,118.15317305864755
76.3,133.48236178948787
69.4,63.7728362499937
69.1,117.73368818884536
97.4,60.581204589021524
104.9,42.35016565513259
76.6,127.16071089653877
94.2,120.61643520149521
47.3,81.64839296536849
87.7,141.98475375071004
59.1,87.59638085433204
70.1,121.86702346467808
90.1,150.51068677903532
101.9,119.58019063461214
63.6,111.58362136624022
90.9,135.52323585721962
232.6,360.4236964958742
79.3,128.78219193101972
74.2,124.35255564585395
101.7,46.81674115950613
66.4,107.13679721451413
57.3,48.790134382320396
137.0,177.9440038976708
105.9,147.8989286685095
89.9,173.65268959051923
408.9,860.4953595933094
89.2,222.6944150926731
149.5,61.17413163982091
114.9,275.7698147625675
68.4,122.33719876925184
56.6,56.350159607657645
62.4,112.21994176191434
95.9,159.986552937586
74.6,-2.827057223228749
72.8,124.67630257134056
117.2,169.62653038149512
104.2,150.48994635630373
113.6,216.08283752193037
85.2,137.60213286416845
138.4,208.8213157672663
78.0,130.34243597353276
65.8,119.07311029136409
86.2,160.11299404387665
68.6,118.85277085736513
81.3,103.43721238910294
179.6,232.68731879129894
118.4,51.17283637823462
87.4,163.4575502543608
67.4,98.4200053213924
66.5,117.55052983236124
70.1,125.05066411386117
107.1,207.19023730651327
60.2,103.12842173175056
81.7,130.04090971552904
52.9,90.769158333046
58.7,103.20591026351396
58.8,24.3398629090716
70.1,117.90897326390254
60.3,97.40668292315112
90.1,44.958966911068394
47.9,24.27210229600611
45.2,95.36233387278466
326.9,479.3300335662875
142.3,421.9699050262032
67.8,111.76274025887584
42.5,9.676216368551072
58.7,99.21043105801657
73.0,128.49569019457434
60.0,106.81245084720528
60.4,98.4229925267754
131.0,74.20841601976377
57.7,55.55606080762287
93.3,139.13164350512992
103.0,213.67906132359755
85.8,-147.64827757106428
82.8,48.87282048117379
84.9,142.432549605122
82.9,140.6425572115873
75.6,124.43635402263706
45.8,44.73159735642163
49.6,-8.536852355349055
80.4,-19.49569520330894
72.3,117.91385927501972
33.6,15.538226277435811
101.6,168.35339075733515
82.4,125.20539196024444
7.5,-8.564192143878126
71.8,122.40357440170072
95.9,151.4159961487746
73.8,79.50217420690086
58.3,50.68290686924087
52.1,94.55317237558668
69.6,61.724815685791604
213.5,1081.137217685311
87.0,41.694363265113246
104.8,154.89659181292245
90.8,123.10749678753103
69.9,50.71559427659717
89.9,167.12315986617696
66.6,118.83219020899273
95.9,144.87610209561566
70.3,-29.55797198136699
126.2,516.7899047032927
85.1,131.39996626528472
72.6,-88.6920730622179
54.7,103.42591802588599
85.7,154.21069313460788
66.9,111.31672523324448
63.4,60.54774286907747
237.1,562.6096537670066
63.4,65.27760280486905
76.6,88.5852614508323
33.4,34.713656032218125
119.3,67.46129105428318
14.8,1.1229591041203335
44.3,-32.736363865936426
41.1,-0.1946565657685113
16.8,-10.3240509055059
79.3,143.12621820562225
90.7,102.415890599794
70.0,114.1222186646367
71.6,65.93676349131856
30.5,43.3868692584815
73.5,122.0778021392353
69.0,41.74744724212195
42.3,-1.096598160810423
82.8,244.07320641233594
62.2,107.1492504461762
26.4,43.57116188045248
140.6,-21.940585499163433
98.6,149.71574611508453
82.0,127.49103920159635
87.2,60.30023595505858
49.2,44.950994352722034
56.9,36.958227510150245
114.6,87.22509649379086
69.8,58.66487225351814
51.7,90.89830173737693
78.8,45.46495161050511
101.6,162.47745656001754
63.6,51.36043333185493
72.0,112.11495158940203
88.2,147.0924425764308
83.8,135.39237956199588
70.1,130.9889456375463
62.5,-748.8221699800167
50.9,90.35933715963228
72.5,124.49981615689069
81.8,134.98114232215516
83.8,134.10294256237725
113.7,472.31622519241654
70.0,130.35922465190453
17.5,-102.41858736147262
77.2,245.42885938082156
78.2,128.03483155283888
75.7,115.28157063363251
101.5,139.16925525609946
60.1,109.02592111736668
15.8,53.38709736046063
65.1,65.20558324589078
15.8,64.63239901393575
40.7,13.807288489688283
136.3,323.4511429683654
95.2,219.38269055484756
17133.2,4925.318168370968
115.8,257.71742949544466
84.9,128.01398002530254
86.4,61.81343632776269
73.7,75.76641398820216
102.6,58.53003803725934
69.3,120.37671844050269
