property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
College/University,97711,1896,100,0,19.4,0,0,0,0,176.2,0
Residence Hall/Dormitory,169984,1962,100,100,12.3,0,0,0,2574200,136.7,0
College/University,69021,1896,100,0,78.5,0,0,0,0,502.7,2538.1
Residence Hall/Dormitory,182714,1929,100,100,19.3,0,0,0,887700,292.1,0
Multifamily Housing,119090,1928,100,0,16,2473622.6,0,0,118350,151.1,0
Multifamily Housing,305587,1960,100,1,184.3,0,0,0,51080100.2,3199.4,0
Hospital,198896,1893,100,19,317.6,0,0,25032304.8,17800699.6,4493.9,1916545.9
Medical Office,60828,1893,100,77,127.6,0,0,7759914.4,0,515.2,6595.4
Hospital,138068,1969,100,3,388.3,0,0,17277397.4,16879700.7,3849.7,13224.2
College/University,515799,1848,100,0,97.7,28362567.1,0,0,15048437.4,3808.5,0
Residence Hall/Dormitory,200261,1924,100,59,93.6,5989199.2,0,0,8996806,1325.9,0
College/University,117060,1848,100,0,114.9,13788112.3,0,0,5083589.4,1620.7,0
College/University,83366,1956,100,0,80,8585255.6,0,0,968041.9,861.9,0
Residence Hall/Dormitory,40000,1925,100,23,164.9,7811145.8,0,0,6037,964.6,1460.7
Other,338996,1909,100,0,38.2,0,0,0,12258800.3,713.8,0
Multifamily Housing,54100,1939,100,100,2.6,0,0,0,30200,12,7874.7
Residence Hall/Dormitory,88332,1910,100,61,145,0,0,0,12136000.3,707.3,11388.6
Multifamily Housing,188572,1909,100,100,29.8,9911435.6,0,0,92600,425,0
Other,176351,1964,100,0,10.7,0,0,0,1253100,126.1,0
Multifamily Housing,87260,1964,100,58,100.8,0,0,0,8507999.8,478.8,6990.5
Multifamily Housing,89091,1967,100,100,17.2,0,0,0,1177500,95.1,2659.3
Other,166302,1910,100,0,3.8,0,0,0,215700,50.4,0
Multifamily Housing,53676,1910,100,100,3.4,0,0,0,0,17.1,1757.2
Multifamily Housing,50292,1910,100,100,5.5,0,0,0,39900,24,4099.9
Multifamily Housing,62334,1980,100,85,78.9,0,0,0,4668999.9,271.1,3275.7
Senior Care Community,288790,1915,95,66,213.4,1998792,0,0,43744973.5,3964.2,21137
Self-Storage Facility,83095,2009,100,0,13.7,0,0,0,297980,93.7,0
College/University,357000,2000,100,0,175.2,0,0,0,36108970.7,4370.3,0
College/University,63000,1930,10,0,992.6,0,0,0,36108970.7,4370.3,0
Strip Mall,402587,1987,95,0,145.2,0,0,0,25863861.5,6243.2,0
Bank Branch,3190,2004,100,3,279,0,0,0,386555.7,67.3,0
Retail Store,50000,2004,90,0,70.8,0,0,0,437401.8,311.3,0
Bank Branch,3800,2007,100,45,124.1,0,0,0,163200.7,37.3,0
Multifamily Housing,1385656,1965,100,3,175.4,0,0,0,243056197.6,12909.9,163058.3
Multifamily Housing,1989288,1965,100,2,181.6,0,0,0,361225620.2,19186.4,82766
Hospital,480751,1987,100,51,218.7,0,0,0,56905321.8,7497.7,2785375.2
Office,89506,1978,100,80,76.4,0,0,0,3516912.5,495.4,3236.1
Hospital,131610,1990,100,100,11.2,0,0,0,1475294.7,78.4,237581.3
Hospital,259635,1987,100,6,383,0,0,0,54524832.5,7064,2544573.5
Multifamily Housing,436115,1928,95,17,122.5,0,0,0,46177697.3,3126.2,0
Multifamily Housing,74068,1928,100,34,94.4,0,0,0,5995197.2,410.9,0
Multifamily Housing,84442,1928,100,22,112,0,0,0,8669754.6,551.5,0
Multifamily Housing,72806,1928,100,43,97,0,0,0,5995197.2,417.8,0
Multifamily Housing,74549,1928,100,6,105.2,0,0,0,6785387.7,458.5,0
Multifamily Housing,96602,1928,100,13,123.7,0,0,0,10543342,748.7,0
Multifamily Housing,61782,1928,100,1,150.6,0,0,0,8186833.3,538.7,0
Enclosed Mall,2662400,1970,100,0,122,0,0,0,324774616.9,17250.3,37262
Multifamily Housing,735000,1953,100,96,35.5,0,0,0,5623182.4,2200.4,45976.8
Multifamily Housing,17500,1953,100,0,65.9,0,0,0,1152992.5,61.2,1292.6
Multifamily Housing,70000,1953,100,100,65.2,3312000,0,0,0,277.3,4414.3
Multifamily Housing,70000,1953,100,100,64.5,3234720,0,0,0,273.8,4812.2
Multifamily Housing,70000,1953,100,100,65.9,3312000,0,0,0,279.8,4457.6
Multifamily Housing,70000,1953,100,100,71.5,4636800.2,0,0,0,314.6,4345.4
Multifamily Housing,350000,1953,100,98,27.4,0,0,0,0,889.1,21982.2
Multifamily Housing,70000,1953,100,36,154.5,0,0,0,10817395,574.6,6466.9
Multifamily Housing,70000,1953,100,69,130,0,0,0,9098339.9,483.3,5053.8
Multifamily Housing,665000,1955,100,99,27.9,0,0,0,1295562.5,1668.6,33742.7
Multifamily Housing,70000,1955,100,100,59.4,0,0,0,4161294.7,221,4071.6
Multifamily Housing,70000,1955,100,100,46.2,0,0,0,3233502.1,171.7,3587.7
Multifamily Housing,70000,1955,100,100,1.6,0,0,0,112927.5,6,3807.6
Multifamily Housing,35000,1955,100,100,68.7,700488,0,0,0,135.1,5169.1
Multifamily Housing,70000,1955,100,100,48.8,0,0,0,3419079,181.6,3242.8
Multifamily Housing,35000,1955,100,100,60.3,825516,0,0,0,120.8,1636
Multifamily Housing,70000,1955,100,100,37.2,2283072,0,0,0,162.3,4051.4
Multifamily Housing,70000,1955,100,100,39.6,4072380,0,0,0,190.1,3700.6
Multifamily Housing,17500,1955,100,0,69,0,0,0,1206680,64.1,554.3
Multifamily Housing,70000,1955,100,100,58.1,4344406,0,0,0,261.9,3494.9
Multifamily Housing,17500,1955,100,0,71.2,0,0,0,1246055,66.2,1045
Multifamily Housing,350000,1954,100,99,27.4,0,0,0,800922.6,858.3,22515.1
Multifamily Housing,70000,1954,100,100,56.8,4473242.4,0,0,0,258.3,3947.5
Multifamily Housing,70000,1954,100,100,67.8,612996,0,0,4441754.9,258.7,4802.5
Multifamily Housing,70000,1954,100,100,47.7,3421848,0,0,0,213.5,5260.3
Multifamily Housing,70000,1954,100,100,44.6,2475996,0,0,0,191.8,4275.1
Multifamily Housing,291876,1966,100,68,42.4,0,0,0,468637.5,1129,0
Multifamily Housing,145938,1966,100,68,41.8,0,0,0,217605,557.9,0
Multifamily Housing,145938,1966,100,65,42.9,0,0,0,251032.5,571.2,0
Multifamily Housing,316000,1953,95,65,85,0,0,0,21684718.8,1631.7,0
Multifamily Housing,608360,1962,100,26,113.8,1552500,0,0,53876500.4,4274.7,0
Multifamily Housing,534260,1962,100,98,28.1,0,0,0,380777.5,1375.7,0
Multifamily Housing,74100,1962,100,89,38.8,0,0,0,520805,246,0
Multifamily Housing,608360,1962,100,95,89,1552500,0,0,53355695.3,2891.6,0
K-12 School,322505,1928,100,49,75.9,23169095.2,0,0,2904463.4,1940.3,0
Enclosed Mall,536000,2014,80,0,102.4,0,0,0,2901091.8,4976.1,0
Enclosed Mall,536000,2014,80,0,5.4,0,0,0,2901091.8,154.1,0
Multifamily Housing,205264,1952,100,93,63.4,0,0,0,10797599.6,778.3,0
Multifamily Housing,233877,1950,100,100,34.1,8161402.4,0,0,1354000,610.3,0
Other - Recreation,302053,1930,100,0,55.6,0,0,0,546700,1535.8,0
Other - Recreation,94717,1930,100,0,177.2,0,0,0,546700,1535.8,0
Multifamily Housing,86084,1951,100,19,100.1,0,0,0,6859613.8,527.8,0
Multifamily Housing,124200,1951,100,39,81,0,0,0,7698987.3,627.8,6244.6
Multifamily Housing,149406,1951,100,29,92.2,0,0,0,10410703.1,865.3,9798.7
Multifamily Housing,109562,1951,100,26,94.7,0,0,0,7970789.4,646,0
Multifamily Housing,176032,1951,100,36,87.4,0,0,0,11773070.6,961.2,0
Multifamily Housing,103032,1951,100,58,83.9,0,0,0,6978669.2,525.5,7275.5
Multifamily Housing,151492,1953,100,17,116.9,0,0,0,14620522.3,1063.8,8674.7
Multifamily Housing,156144,1953,100,14,117.5,0,0,0,14911764.4,1110.1,0
Multifamily Housing,146484,1953,100,17,113.3,0,0,0,13358662.2,1010,1163027.2
Multifamily Housing,255704,1953,100,15,120.3,0,0,0,25623358.2,1838.5,12211.8
Multifamily Housing,183912,1953,100,16,117.4,0,0,0,17801886.6,1297,11235.4
Multifamily Housing,159090,1939,100,49,74.5,0,0,0,8327980.1,768.7,5592.4
Multifamily Housing,69545,1939,100,53,73.9,0,0,0,3855920.1,392.6,5592.4
Multifamily Housing,79545,1939,100,55,75,0,0,0,4472059.9,376.1,0
Retail Store,64296,1994,75,0,50.7,0,0,0,11364,301.9,59254.7
Retail Store,64296,1994,75,94,29,0,0,0,2412,172.9,27280
Multifamily Housing,70124,1952,100,23,103.4,0,0,0,5783570.4,443.7,0
Multifamily Housing,80568,1952,100,16,116.7,0,0,0,7683289.3,567.5,0
Multifamily Housing,95056,1952,100,8,117.4,0,0,0,9054916.5,676.2,0
Multifamily Housing,72016,1952,100,17,122.7,0,0,0,7571401.6,519.4,0
Other - Specialty Hospital,1382117,1940,100,0,291.2,0,0,237446313.8,0,31074.4,0
Mixed Use Property,180300,1947,100,0,82.7,4147275.8,0,0,891188.3,1276.5,0
K-12 School,36500,1947,100,0,46.6,0,0,0,874188.3,347,0
Office,69000,1947,100,33,95.3,0,0,0,17000,813,1896.1
Multifamily Housing,69094,1914,100,99,69.9,7838951.8,0,0,129387.9,370.4,2419.8
Multifamily Housing,69148,1914,100,81,56.8,0,0,0,2779900,254.2,0
Multifamily Housing,249600,1960,95,32,98.4,37204192,0,0,1022440,1891.7,0
Multifamily Housing,124800,1962,95,100,23.5,0,0,0,486290,252.7,0
