property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
Office,43941,1916,100,7,151.8,0,0,3009537.9,0,946.3,3024
Office,350110,1969,100,68,111.5,0,0,25223081.9,0,2957.1,14100
Hotel,230654,1926,100,67,81.1,0,0,0,1716200,1667.8,19956.6
Office,182000,1929,100,87,67.7,0,0,4327848.9,0,1029.1,2777
Financial Office,679149,1981,100,95,57.4,0,0,25741721.5,1721750,5404.1,0
Office,122569.4,1928,100,66,90.9,0,0,5401796.6,0,1079.4,3619.2
Office,338258.3,2010,100,68,82.1,0,0,4236042.1,0,2629.6,6001.2
Office,109514,1973,100,0,95560.2,0,0,11780121010,0,783039.9,6008
Financial Office,685781,1982,95,81,67.5,0,0,19895.2,2704833.1,6455.7,0
Office,342160,1932,100,77,72.2,0,0,6573881.6,690765,2156.1,13441
Financial Office,119500,1991,100,1,28373.6,0,0,3396105030,0,226306,3747.4
Office,280000,1952,100,30,128.9,0,0,13499495.4,0,2991.7,0
Office,236177,1986,100,86,52.9,0,0,0,0,1209.6,2170.4
Office,88150,1926,55,0,44.3,0,0,0,0,475.2,2508.7
Office,60063,1912,100,31,100.1,0,0,495143.6,1013600.8,713.6,2801.4
Office,73286,1926,100,48,130.8,0,0,3714303.9,0,994,3848
Office,297638,1955,100,84,67.7,0,0,3738604.8,3790754.9,1619.5,0
Financial Office,268825.8,1981,100,78,74.2,0,0,7422844.7,0,2865.1,6878
Office,139988.6,1957,75,75,69.6,0,0,2135923.9,0,1184.8,2706.2
Office,249417,1958,100,86,57.9,0,0,3053641.6,0,1259.3,2596.3
Office,145564,1986,100,74,58,0,0,0,0,829.2,2987.1
Office,141005,1956,100,54,92.4,0,0,4014897.1,0,1102.9,0
Office,271413,1970,85,68,82.2,0,0,6409832.1,0,1993.1,4134.6
Multifamily Housing,80606,2003,100,0,144.2,0,0,0,6956308.7,1174.6,0
Hotel,428000,1904,100,11,169.5,0,0,38751083.7,5035596.7,5511.1,39194.6
Office,246605,1927,80,84,68.7,0,0,3692027.8,0,1878.7,10340.8
Office,135429,1922,90,99,24.7,0,0,0,0,341.6,3406.5
Office,311179,1986,95,25,143.3,0,0,20810079.1,0,7690.8,9799.5
Office,276699,1954,100,95,69.4,0,0,6175513,0,1693.1,0
Mixed Use Property,26623,1955,100,0,103.6,0,0,812316.2,640096.7,502,0
Office,498531,1962,100,92,56,0,0,11285264.1,0,2291.3,14802.5
Office,352951,1957,100,50,179.4,0,0,8776976.6,28267520.5,4524,12209.1
Office,1148921,1980,100,69,80.7,0,0,34940646.2,0,13319.2,712407.2
Office,335000,1972,95,82,120.2,0,0,18847361.6,0,3237.9,7133.2
Office,99990,1930,100,81,70.9,6637248,0,0,0,629,883.4
Office,365347,1950,100,52,97.7,0,0,13504293.9,0,2957.1,0
Retail Store,117232,1939,90,50,207.6,0,0,8883541.1,147186.9,2017.8,0
Multifamily Housing,549320,1983,100,44,87,0,0,25418050.8,1446769,5779.9,0
Office,65341,1920,100,12,136.1,0,0,164609.3,0,1145.5,2570
Office,51387.3,1900,100,34,137,0,0,0,3681953.2,658.9,1260.5
Office,97821,2000,100,34,123.7,0,0,4297467.8,0,1046,0
Office,86957,1921,90,34,103.3,0,0,2019180.8,0,780.6,0
Office,303618,1929,100,78,69.5,0,0,7887392.6,0,1945.8,7833
Office,304871,1954,95,79,78.7,0,0,10425105.8,0,2211.7,0
Multifamily Housing,111310,1916,100,28,102.9,8921913.5,0,0,75000,904.1,2248.6
Office,355401,1967,95,61,94.5,0,0,14745491.2,0,2876.3,8814.8
Office,441027,1930,100,78,79.1,0,0,10771492.8,0,3660,8816.5
Hotel,393500,1993,85,12,162.2,0,0,46851022.2,4038106.7,6354.3,0
Office,1201492,1968,100,45,138.9,0,0,124276626.6,0,20760.3,49999.1
Multifamily Housing,350710,1928,100,68,68.5,35615039.4,0,0,0,2053.7,12103.4
Financial Office,207717,1959,95,1,8311.8,0,0,1845280691,0,123707.6,8163
Office,448781,1920,100,61,123,0,0,28594069.9,0,4982.7,18421.5
Office,1176349,1982,90,67,78.8,0,0,28232710.9,673010.4,8067.1,0
Office,255544,1959,85,90,57.5,0,0,4787234.3,0,1237.6,9369.9
Office,291943,1929,100,77,70.3,0,0,7019329.7,1471891,1718,6555
Office,250074,1958,100,88,58.6,0,0,4048318.3,0,1286.1,17709
Office,1035763,1974,100,30,204.7,0,0,54263714.2,109494954,13897,0
Office,225500,1958,95,91,52.1,0,0,2985136.8,0,1045.6,3048.5
Office,559405,1923,100,73,75.1,0,0,0,5126999.9,3693.8,17832.8
Office,815186,1929,85,75,93.7,0,0,41058834.2,0,6003.7,14977.6
Office,250549,1923,100,66,127.2,0,0,20763601.1,0,2671.2,19513.7
Office,1153061,1954,100,79,80.5,0,0,52290708.9,3586354.5,11149.9,0
Office,1251273,1929,80,93,55.6,0,0,22448990.9,0,6026.8,0
Office,759638,1951,80,84,67.4,0,0,17420459.7,0,4354.1,0
Office,577266,1987,100,81,80.6,0,0,13202511.8,1016587.3,4660.1,16421.3
Office,97085,1925,100,32,114.6,0,0,4498538.2,0,914,0
Hotel,72307,1952,100,59,83.7,0,0,0,1882836.4,486.7,808062.5
Office,654430,1982,80,77,63.8,0,0,7478527.8,10081.8,3685.5,0
Multifamily Housing,55090,1915,100,2,153.6,7163344.1,0,0,82097,897.4,5674.7
Hotel,112951,2013,90,76,74,0,0,0,2986272.5,656.7,4124.2
Office,935359,1929,90,78,99.3,0,0,63538315.4,1361063.6,10203.5,72902.9
Office,1236141,1915,100,72,59.3,0,0,10203989.8,0,6569.9,0
Multifamily Housing,123975,1924,100,0,131.1,12777901.8,0,0,322419.1,1359.7,0
Office,1563231,1967,100,78,114.1,0,0,70707927.6,1139823.8,14963.1,24339.5
Office,852820,1958,100,87,77,0,0,28681609.1,0,5708.6,15614.8
Office,743901,1958,100,74,96,0,0,34171369.5,885000,5892.5,13352.7
Hotel,103000,1926,100,0,8084.2,0,0,873031512,0,57973.4,8521.4
Hotel,96000,1929,100,37,109,0,0,0,4133157.5,807.5,5749.7
Hotel,275000,2013,90,16,124.8,0,0,22375579.1,0,2593.1,33131.5
Office,1897643,1963,95,75,117.7,0,0,126437225.2,0,17382,46967.9
Financial Office,807537.8,1967,100,69,93.7,0,0,50246437.6,0,9793.1,0
Hotel,457390,1926,100,9,81.1,0,0,4107538.9,1578500,3272.2,0
Financial Office,251895,1984,90,78,75.8,0,0,4114063,2030563,3238.2,10482.1
Multifamily Housing,62700,1923,100,82,56,552000,0,0,2343559.3,227.8,1889.6
Hotel,410257,1924,100,43,127.4,0,0,0,30446801.3,3642.7,27460
Multifamily Housing,170711,1985,100,1,135.5,0,0,10873053.6,5034878.1,1659.7,0
Hotel,350000,1990,100,58,76.8,0,0,0,2314900,2402.8,148373
Office,500190,1981,100,58,69.4,0,0,33706.6,0,3399.4,0
Hotel,1600000,1930,100,30,125,0,0,105292592.8,7384481,15486.1,122578.6
Worship Facility,77830,1925,60,0,120,0,0,9556218.7,1036575,1085.4,0
Office,324040,1980,100,85,61.1,0,0,3780492.8,0,1765.8,5303.1
Hotel,157462,1927,100,56,125.3,0,0,9773929.7,2302806.5,1481.1,8319.1
Hotel,147970,1985,100,32,131.7,8078392.3,0,0,3011471.8,1547.8,0
Office,150950,1958,95,47,108,0,0,2109591.6,2328862.5,1365.2,3088.7
Office,463996,1931,100,71,89.9,0,0,19721128.5,0,3349.9,0
Hotel,424661,1960,100,74,73.3,0,0,13292011.9,1121531.3,2581.4,44726.8
Office,1800524,1969,100,52,143.8,0,0,140043535.2,1546715.6,20827.3,34783.9
Office,614793,1958,80,85,77.6,0,0,17784519.1,1098043.7,4363.5,6304.6
Office,291507,1984,100,48,92,0,0,4909307.4,547688.6,2390.1,6352.4
Office,795168,1958,100,14,182.7,0,0,64710281.9,0,11772.3,0
Office,290374,1984,100,83,80.2,0,0,4536579.2,0,2071.8,5412.2
Office,1113789,1986,100,78,68.7,0,0,8803678.1,402467.5,6854.7,22396.8
Multifamily Housing,66386,1929,100,81,75.2,3188250.9,0,0,286795,395.9,13574.1
Hotel,214000,1998,100,48,83.6,0,0,7473962.3,36900,1461.2,0
Office,142235,1964,100,72,57.6,0,0,944632,0,734.9,0
Office,1548346,1976,100,58,129,0,0,121779720.8,0,16930.8,29837.3
Office,1651481.7,1961,90,0,85.8,0,0,39825287.2,0,12498.2,34091.5
Multifamily Housing,53073,1977,100,1,163.3,6191369.8,0,0,2242183.6,703,0
Office,420888,1964,100,65,110.7,0,0,27921406.3,0,3677,4998.4
Office,561772,1983,100,86,58.1,0,0,6216568.9,0,3026.6,6582.7
Multifamily Housing,216541,1956,100,52,73.7,0,0,0,11198899.9,1132.1,8995.2
Office,72000,1985,100,55,93.9,0,0,0,1430407.4,570.4,0
Multifamily Housing,96547,1916,100,80,65.3,8473751.6,0,0,143433.3,523.3,2573.4
Multifamily Housing,113907,1951,100,0,111.3,19703501.8,0,0,1801135.1,1148.9,0
Hotel,76190,1985,100,99,33.3,0,0,0,1984574.2,156.6,3342.1
Multifamily Housing,127685,1961,90,22,112.6,0,0,10562277.8,3743100,1116.4,0
Mixed Use Property,197972,1962,95,0,49340.7,0,0,9764701250,0,648675.6,0
Office,186913,1982,100,83,47.1,0,0,0,0,817,0
Office,45385,1926,100,75,80.7,0,0,908251.9,1581063.3,569.7,0
Multifamily Housing,76904,1956,100,1,79.6,0,0,0,1481200,509.3,0
Multifamily Housing,141440,1956,100,0,96.7,10278546.4,0,0,356158,1203.1,0
Multifamily Housing,61754,1930,100,96,88,3998063.9,0,0,0,434.4,5598.8
Office,304010,1947,100,67,104.8,0,0,15932161.2,0,2728.5,0
Hotel,247600,1927,70,65,56.3,0,0,0,3444053.2,1156.7,11330.9
Multifamily Housing,110703,1940,100,0,44.5,3803738.1,0,0,214393.3,403.2,3180.6
Office,64449,1958,100,66,75.7,0,0,1336813,0,453.4,1212.8
Office,320588,1971,90,0,78360.1,0,0,25105835480,0,1668426,9117.5
Office,58315,1929,100,55,99.7,0,0,4046146.5,0,652.6,0
Hotel,68308,1927,100,54,81.9,0,0,1411538.3,817800,449.4,609351
Hotel,111084,1920,90,30,122.9,0,0,0,6517800.2,1008.1,6985.5
Multifamily Housing,152280,1957,100,9,100.3,0,0,8202878.8,2980140,1166.6,0
Office,417222,1987,100,80,70.3,0,0,9327909.8,440444,2459.4,0
Multifamily Housing,129049,1960,100,72,69.6,0,0,0,5804666,647.2,6781.1
Multifamily Housing,153150,1960,100,0,30.4,0,0,6863.2,281431.1,437.6,0
Multifamily Housing,116578,1908,100,0,66.1,0,0,6588132,51441.4,631,0
Office,180000,1976,85,68,113.6,0,0,13956212.2,0,1528.5,18851.2
Multifamily Housing,217259,1910,100,39,88.1,15761001.7,0,0,608866.7,1854,5108.9
Multifamily Housing,83647,1922,100,74,55.4,0,0,3430488.8,70700,361.6,0
Office,262242.2,1980,100,65,85.1,0,0,5377776,0,2009.4,4802.5
Office,458457,1969,95,52,97.1,0,0,11793743.8,576670,4512.4,0
Medical Office,65419,1930,100,63,101.9,0,0,5195559.1,389967.6,1084.3,0
Office,905021,2003,100,61,145.1,0,0,25385602.3,2396849.5,17274.8,79306.3
Office,268399,1953,95,94,54.5,0,0,3923617.4,0,1258.3,5454
Office,384607,2002,90,95,52.9,0,0,5782923.1,0,1734.7,3585.3
Multifamily Housing,404293,1977,100,44,76.2,39288240.4,0,0,2937294,2377.2,18280.9
Multifamily Housing,351162,1986,100,47,78.2,0,0,20221750.8,757503,2236.1,0
Office,916603,1962,95,0,100.3,0,0,43914685.5,2501970.9,7863.2,26623.6
Office,384432,1956,100,78,96.5,0,0,18243921.1,0,2959.3,0
Hotel,468907,1981,100,39,159.4,0,0,0,56235796.6,4706,26084
Office,318952,1905,100,79,76,0,0,9286491.2,337142.4,1992.3,5253.7
Office,730547,1960,100,54,119,0,0,46850820.5,1316257.6,6852.7,19175.1
Office,148478,1932,100,71,91.7,3067314,0,0,3580540,1067.2,4382
Office,624835,1960,90,86,68,0,0,14221773.6,298114,3721,13440.2
Office,197097,1928,70,87,61.5,0,0,6185666,0,960.7,9713.5
Office,139824,1962,100,87,61,0,0,3423510.9,0,701.3,2747.6
Multifamily Housing,142000,1963,100,89,59.2,0,0,5987861.5,0,622,0
Office,458698,1956,90,84,77.1,0,0,18407133.7,0,2901.8,7162.6
Multifamily Housing,206872,1986,100,89,45.3,9853476,0,0,221239.4,770.1,7537.1
Multifamily Housing,209180,1964,100,10,110.5,29823648.8,0,0,1865300,1919,0
Office,201052,1929,100,81,75.1,3499473.8,0,0,1300851.4,1372.3,3658.5
Other,156626,1928,100,0,167.8,13002359.2,0,0,141418.2,2312.2,2137.4
Office,146620,1928,100,82,77.9,7730207.8,0,0,16493.9,1025.3,0
Office,185997,1929,100,45,99.1,4775075.8,0,0,2760.6,1666.1,2903.4
Multifamily Housing,65000,1938,100,0,107.3,6567676,0,0,76391.3,637.5,0
Multifamily Housing,102877,1986,100,55,62.2,6850687.4,0,0,469984.8,511.8,1147.5
Office,390878,1961,100,79,96.4,0,0,19681513.4,0,2978.6,0
Multifamily Housing,60900,1970,100,77,87.4,3914843.8,0,0,195562,417.6,2678.6
Other - Entertainment/Public Assembly,87168,1931,100,0,156.7,0,0,12838183.2,1775724.3,1868.2,14462.3
Office,408153,1972,100,52,79.6,0,0,0,0,3013.6,5332.9
Multifamily Housing,232000,1982,100,31,105.9,0,0,11126504,0,1986,14646.9
Multifamily Housing,54378,1985,100,0,67.1,0,0,1578671,64600,308.5,0
Multifamily Housing,62609,1957,100,59,76,0,0,2733393.5,234493.9,395.1,0
Multifamily Housing,85245,1956,100,83,74.9,8970275.6,0,0,207763.6,500.7,4023
Multifamily Housing,207727,1988,100,31,68.2,0,0,7677109.6,0,1111.4,0
Multifamily Housing,228085,1979,100,40,96.1,30888291.2,0,0,2572836.4,1859.3,10000.7
Office,743668,1974,95,91,78.5,0,0,25811078,0,5235.1,6841.6
Multifamily Housing,71992,1928,100,58,87.3,4704150,0,0,79500,498.1,3362.1
Multifamily Housing,51576,1923,100,2,153.9,0,0,0,7020147.8,458,2367.6
Office,252324,1981,100,56,93.1,0,0,0,5451696.9,1963.2,3889.3
Office,563420,1963,100,59,121.8,0,0,45323453.8,0,5173.7,0
Multifamily Housing,164629,1959,100,29,103,23453928.2,0,0,2496846.4,1367.1,10125.6
Multifamily Housing,97459,2006,100,33,45.1,0,0,0,429654.8,391,0
Multifamily Housing,72409,1927,100,92,46.4,4419036.4,0,0,2687.5,305.8,2407
Multifamily Housing,54000,1927,100,1,335.1,0,0,17094498.1,109400,1223.8,0
Office,627431,1980,100,71,83,0,0,14116447.2,4913103.3,4262.9,0
Multifamily Housing,173289,1985,100,48,86,19074470.6,0,0,347818.7,1191.3,0
Hotel,71925,1931,100,73,130.7,10381740,0,0,268900,765,11382.4
Office,314371,1963,100,73,100.8,0,0,19007486.1,0,2701.7,4309.3
Multifamily Housing,206945,1960,100,0,64.2,0,0,0,9901375.2,889.6,0
Multifamily Housing,74713,1958,100,31,51.3,0,0,0,1094519,312.2,0
Multifamily Housing,230470,2008,100,34,58.2,0,0,0,4780324.7,1082.2,5925.8
Multifamily Housing,115020,1962,100,26,88.8,0,0,0,7655151.8,643.6,5971
Multifamily Housing,146549,1957,100,47,76.2,0,0,0,7343892.8,745,8307.9
Multifamily Housing,243473,1990,100,3,95.8,0,0,0,12115286.7,1967.8,15421.1
Office,790632,1968,100,87,84.7,0,0,28173520.8,0,5480.6,18079
Multifamily Housing,320280,1977,100,0,104.4,0,0,0,25488176.4,2223.7,19724.6
Multifamily Housing,68000,1963,100,87,77.8,8099772,0,0,0,415.6,3940.5
Office,1289108,1970,100,66,117.3,0,0,73339057.4,188700,12416.3,40996.2
Multifamily Housing,131902,2001,100,70,66.1,6490367.6,0,0,755777.5,665.9,9486.4
Multifamily Housing,406730,1960,100,91,44.5,0,0,11607525.3,400060,1460.1,0
Multifamily Housing,87090,1940,100,48,86.4,0,0,0,5342191.1,486.4,4136
Multifamily Housing,108500,1963,100,0,97.9,0,0,8982665,0,852.5,0
Multifamily Housing,59740,2004,100,0,85,0,0,2907091.5,0,428.7,0
Multifamily Housing,101268,1931,100,77,70.4,10958304,0,0,0,567.5,4034.2
Multifamily Housing,46920,1940,100,0,113.5,0,0,3181198,0,442.8,0
Multifamily Housing,82462,1959,90,63,52.8,0,0,0,1603006.4,379.9,7423.2
Multifamily Housing,83520,1961,100,16,114.9,0,0,9403310.2,326827.4,1070.5,0
Multifamily Housing,318469,1960,100,26,98.5,0,0,27828857.8,0,2477,0
Multifamily Housing,111435,2006,100,0,112.1,0,0,6879448.6,416165,999.5,0
Office,608768,1963,100,73,93.6,0,0,30808984.9,0,4474.6,0
Multifamily Housing,340423,1983,100,14,64.6,0,0,8163019.6,0,1823.9,0
Multifamily Housing,361516,1963,100,0,104.9,0,0,0,29557711.2,2454.2,14174.1
Multifamily Housing,294543,1955,100,85,100.1,0,0,0,23564155,1801.7,0
Multifamily Housing,408812,1929,100,79,92,0,0,0,29839317.3,2388.8,22357.7
Multifamily Housing,126898,1906,100,0,92.6,0,0,0,9551366.6,727.2,8666.8
Office,191000,1963,100,78,98.1,0,0,9633244,0,2264.3,0
Multifamily Housing,110934,1929,100,64,80.8,0,0,0,7124578.9,548.6,4584.5
Multifamily Housing,239849,1928,100,0,99.1,13419310,0,0,7156078.7,1773.9,13982.6
Multifamily Housing,296526,1950,100,89,79.6,36552364.4,0,0,0,1850.3,12175.6
Multifamily Housing,215715,1927,100,82,98.8,11590692.5,0,0,5521788.1,1556.2,15766.6
Office,224375,1957,100,76,73.6,0,0,5283983.5,0,1445.6,0
Multifamily Housing,103108,1928,100,84,78.4,12255807.2,0,0,0,636.1,4330.5
Multifamily Housing,148000,1928,100,0,100.9,23669457.2,0,0,0,1174.9,6847.7
Multifamily Housing,204806,1929,100,0,108.7,18227545.8,0,0,0,1789.7,11615.8
Multifamily Housing,117055,1983,100,0,74.1,0,0,0,6107746.2,589,7131.2
Office,210000,1921,100,91,66,0,0,0,7932700.7,970.8,2369.1
Multifamily Housing,189909,1929,100,0,102.5,16364862.5,0,0,0,1555.4,13269.2
Office,325852,1950,100,77,68.9,6273258.8,0,0,3724.2,2024.3,2821.7
Office,387000,1975,100,65,96.9,0,0,22021473.7,709511.9,4668.6,18522.9
Multifamily Housing,361638,1977,100,38,87.3,1493214.8,0,0,23776326.2,2178.1,18084.9
Multifamily Housing,63000,1960,95,36,128.2,0,0,0,7016329.8,471.3,2810.2
Multifamily Housing,137200,1961,100,0,124.4,0,0,0,14041573.3,1058.4,7481.4
Multifamily Housing,192822,1981,100,0,92.6,0,0,0,11572645.1,1200.5,11659.1
Multifamily Housing,192738,1960,100,92,62.2,0,0,0,8828915.5,762,13677.4
Multifamily Housing,75302,1978,100,10,123.2,8504387.2,0,0,2276596.9,691.4,4682.8
Multifamily Housing,101882,1978,100,87,37.8,0,0,0,0,357.6,0
Office,100000,1965,100,57,95.9,0,0,2363931.9,0,827.9,5017.2
Office,187060,1926,100,76,84.9,9165104.6,0,0,0,1389.1,1075.2
Multifamily Housing,155700,1959,100,40,104.1,0,0,0,14032248.6,1005.1,0
Office,71322,1970,100,20,143.4,0,0,4861478.4,0,820.5,1692.1
Multifamily Housing,330150,2008,75,2,94.6,0,0,18641973,1081045.4,2362,0
Multifamily Housing,304813,1923,100,42,73.9,0,0,16820702.6,0,1703.1,0
Multifamily Housing,863455,2000,100,26,64.7,0,0,30703005.3,475032,4353.3,0
Office,150525,1928,100,80,62.6,7646386.4,0,0,1915.2,899,2499.6
Multifamily Housing,232425,1960,100,79,54.2,8786717.7,0,0,0,1071.2,16104.1
Multifamily Housing,62145,1959,100,56,73.7,2701000.2,0,0,721875,349.2,1775.1
Multifamily Housing,82062,1962,100,1,189.9,0,0,13572646.3,213785,1079.5,0
Multifamily Housing,90388,1960,100,84,76.1,9700019.4,0,0,0,548.4,0
Multifamily Housing,353010,1984,100,1,116.8,0,0,29422263.4,617839.4,3024.6,0
Multifamily Housing,79920,1930,100,0,81.1,552248.4,0,0,4931090.2,416.3,6239.5
Multifamily Housing,148080,1965,100,0,94,0,0,0,10940752.2,900.4,3587.7
Multifamily Housing,105961,1940,100,46,76.6,0,0,0,5826041.2,521.5,4961.1
Multifamily Housing,125403,1982,100,25,93.4,9314653.9,0,0,0,977.5,0
Multifamily Housing,71137,1962,100,1,117.3,10779180,0,0,147700,668.5,5786.2
Multifamily Housing,88658,1965,100,1,194.4,0,0,0,13626337.9,1059,0
Multifamily Housing,137278,1959,95,0,129.9,365145.9,0,0,13092455.2,1184.8,9705.2
Multifamily Housing,100170,1931,100,83,68.9,0,0,0,5604662.4,418,0
Multifamily Housing,140000,1959,100,56,89.4,0,0,0,9972453.2,816.2,0
Multifamily Housing,57042,1941,100,68,80,815027.8,0,0,3187572.2,289.5,2210.5
Multifamily Housing,86279,1961,100,60,49.3,0,0,503223.3,1567770.1,344.4,0
Multifamily Housing,50108,1963,100,57,96.9,3737862.9,0,0,0,384.9,0
Multifamily Housing,143189,2002,100,9,89.7,0,0,6827041.1,0,1124.4,5892.4
Multifamily Housing,100154,1959,100,54,79.6,0,0,6152899.4,184975,570.3,0
Residence Hall/Dormitory,68538,1929,100,0,60.3,0,0,0,139562.5,378.3,2644.1
Multifamily Housing,166199,2005,100,1,141.3,0,0,0,15012645.2,1676.9,6593.3
Multifamily Housing,140606,1930,100,91,67,7412565.8,0,0,0,744.2,4832.4
Multifamily Housing,306320,1977,100,31,111.7,0,0,0,25924129,2244.3,0
Multifamily Housing,65000,1959,100,25,111.3,0,0,0,5628166.3,448.1,3452.9
Multifamily Housing,65908,1929,100,95,66.1,0,0,0,3444081.3,267.6,0
Multifamily Housing,169376,1928,100,0,85.5,3037103.6,0,0,9140313.5,992.7,5676.2
Multifamily Housing,62277,1932,100,25,112,4605973,0,0,309656,554.8,0
Multifamily Housing,101131,1962,100,68,78.8,11412876.6,0,0,232460,624.2,4347.7
Office,217085,1972,100,0,3995.4,0,0,1512915168,572618.1,100925.7,0
Multifamily Housing,95162,1927,100,5,84.5,0,0,0,3468679.8,608.6,1697.3
Multifamily Housing,433072,1975,100,0,125.3,4934604,0,0,44132237.7,3843.4,27796.1
Multifamily Housing,165122,1982,100,0,135,1380276,0,0,15478653.7,1497.1,9951.3
Multifamily Housing,80547,1932,100,88,50.6,0,0,2617451.7,102493.3,304.9,0
Multifamily Housing,80300,1929,100,92,48,0,0,2837546.3,0,282.6,0
Multifamily Housing,88241,1930,100,1,99.9,0,0,4812050.4,1354010,723.2,0
Multifamily Housing,110000,1928,100,50,50.8,0,0,3906397.9,140615.6,409.4,0
Multifamily Housing,180760,1947,100,56,68.1,0,0,0,3342750,982.2,6190.1
Multifamily Housing,219862,1963,100,20,88.3,0,0,11040131.2,485313.3,1551.6,0
Multifamily Housing,66000,1982,100,0,81.9,0,0,0,3355133.5,437.1,5508.8
Multifamily Housing,580000,1967,100,40,85.8,0,0,14265960.1,26948657.5,3970.7,0
Multifamily Housing,98766,1929,100,94,62.7,9523379.8,0,0,157983.3,479.5,2200
Multifamily Housing,105000,1928,100,94,41.1,0,0,2817623.3,104173.3,322.1,0
Multifamily Housing,94933,1928,100,89,65,0,0,0,4861041,379.9,0
Multifamily Housing,116908,1961,100,62,69.7,0,0,3382948.3,2493799.9,568,0
Multifamily Housing,95347,1984,100,8,104.9,0,0,7996469.7,167050,757.3,5423.2
Multifamily Housing,312078,1972,100,31,79,0,0,16776957.1,358850,1829.3,0
Multifamily Housing,77102,1930,100,94,58.3,0,0,0,3525330.3,277,2912.9
Multifamily Housing,148534,1927,100,98,25.9,0,0,0,166800,350.7,2926.4
Multifamily Housing,78964,1931,100,53,108.7,0,0,0,7425109.1,501.9,2222.5
Multifamily Housing,125000,1930,100,71,66.2,0,0,0,6352580.9,515.5,1820.8
Multifamily Housing,151000,1931,100,9,106.9,0,0,11161822.1,337143.7,1189.7,0
Multifamily Housing,92850,1957,100,86,53.3,0,0,3374661.2,77393.7,366.8,0
Multifamily Housing,98800,1957,100,94,56,7931542,0,0,179110.6,432.3,2739.3
Multifamily Housing,71197,1930,100,92,49.8,5231028.2,0,0,0,280.1,1261.7
Multifamily Housing,381500,2003,100,88,37.6,690248.4,0,0,6167161.4,1151,0
Multifamily Housing,81862,1928,100,91,53.4,6348827.6,0,0,164500,340.5,0
Multifamily Housing,93993,1930,100,29,82.9,0,0,0,5714556.5,496.2,2368.8
Multifamily Housing,98808,1925,100,93,62.3,9659999.4,0,0,63895,479,2378
Multifamily Housing,67096,1927,100,0,101.8,11383316.4,0,0,0,528,1133.3
Multifamily Housing,83795,1929,100,76,61.8,7863515.8,0,0,172575,401,1995.1
Multifamily Housing,86144,1930,100,16,90.8,0,0,0,5743725.2,497.8,22095.6
Multifamily Housing,88160,1930,100,23,88.9,0,0,0,5757819,498.5,2446.1
Multifamily Housing,102456,1931,100,38,76.5,0,0,0,5760356.5,498.6,0
Multifamily Housing,178213,1931,100,97,44.2,0,0,0,5809615.9,501.3,0
Multifamily Housing,463000,1956,100,0,80.6,0,0,0,29702301.8,2290.2,0
Multifamily Housing,464100,1931,100,67,65.5,0,0,21844268.1,0,2244.9,22706.4
Multifamily Housing,326699,1974,100,0,164,0,0,0,24947980.3,4000.5,0
Multifamily Housing,480278,1951,100,37,75,0,0,25608299.5,697893.3,2639.9,14368
Multifamily Housing,209706,1958,100,6,105.2,0,0,0,15549357.3,1430.6,0
Multifamily Housing,207294,1972,100,0,56.6,0,0,17620569.7,451700,1695.5,0
Multifamily Housing,454469,1930,100,0,63.8,0,0,0,21435747.5,1886.3,0
Multifamily Housing,203535,1956,95,83,68.4,9837480.2,0,0,543116.7,1097.7,10498.7
Multifamily Housing,319696,1955,100,48,75.6,17775209.2,0,0,394706.7,1916.9,8433.5
Multifamily Housing,85610,1956,100,99,27.2,966000.4,0,0,301936.7,195.5,3255.3
Multifamily Housing,118121,1956,100,0,92.5,0,0,0,8070943.5,735.6,5010.1
Multifamily Housing,189312,1983,100,1,120.6,0,0,0,10317199.4,1709.4,14213
Multifamily Housing,845000,1968,100,23,98.5,1500000,0,0,61901504.7,5239.1,0
Multifamily Housing,147000,1949,100,50,71.6,0,0,0,7577090.1,675.7,4376.9
Multifamily Housing,125800,1960,100,16,109.7,10586460.1,0,0,190873.3,1087.9,4763.6
Multifamily Housing,90000,1955,100,91,93.6,6710381.6,0,0,183323.3,656.8,2082.6
Multifamily Housing,90000,1955,100,98,70.2,4588572.8,0,0,213926.7,497.7,2899.4
Multifamily Housing,140250,1961,100,99,26.5,0,0,10253,376571.2,329.9,0
Multifamily Housing,91282,1967,100,45,37.3,0,0,0,0,315.9,2540
Multifamily Housing,171462,1929,100,93,49.1,0,0,5987978.3,186373.3,615,0
Multifamily Housing,217275,1938,100,97,46.6,1104551.6,0,0,7324587.2,639.3,0
Multifamily Housing,95977,1961,100,0,78,0,0,0,5213100,496,3938.5
Multifamily Housing,109439,1921,100,25,79.9,6908427.9,0,0,48203.3,688.6,0
Multifamily Housing,96700,1927,100,29,92.9,7158014.9,0,0,0,708.1,2920
Multifamily Housing,125264,1959,100,24,86.7,0,0,7396732.7,150329.9,806.2,0
Multifamily Housing,136655,1927,100,88,52.5,10018799.4,0,0,188985.1,565.1,3383.4
Multifamily Housing,93638,1927,100,72,72.5,0,0,0,5614633.5,423.6,2535.1
Multifamily Housing,86250,1920,100,74,72.3,0,0,5064016.2,0,445.4,0
Multifamily Housing,99617,1928,100,90,57,0,0,4117981.4,232083.3,409,0
