ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,40320.0,1940,100,64.0,102.0,2262759.1,3192.5
Multifamily Housing,73440.0,1940,100,74.0,85.6,3625825.0,3192.5
Multifamily Housing,178170.0,1975,100,8.0,131.7,17147999.8,2405420.0
Office,2325044.0,1970,100,84.0,104.8,48999279.2,49920.3
Office,220000.0,1882,100,76.0,56.4,2615.2,2483.5
Office,741337.0,1902,100,90.0,43.4,5162808.9,18551.7
Office,1445610.0,1986,100,79.0,110.0,455351.5,13880.6
Office,2376683.0,1986,90,71.0,120.5,288797.0,47595.3
Office,2161196.0,1986,100,78.0,99.0,302506.3,27966.5
Multifamily Housing,297000.0,2006,100,15.0,103.2,22570814.9,12702.1
Multifamily Housing,438579.0,1999,100,20.0,94.6,29261399.6,18158.2
Multifamily Housing,190354.0,2000,100,3.0,104.5,9993199.8,11591.4
Multifamily Housing,196798.0,1988,100,9.0,98.7,12314453.2,13055.0
Hotel,509831.0,2001,95,54.0,53.4,3073100.0,34352.8
Multifamily Housing,251430.0,1985,95,42.0,78.2,12250256.2,9540.7
Multifamily Housing,315941.0,2009,100,26.0,101.5,23706399.1,13220.9
Office,361878.0,2013,100,80.0,72.3,400466.0,8859.9
Multifamily Housing,310188.0,1898,100,54.0,55.9,3496687.5,9559.0
Office,213300.0,1902,100,73.0,77.4,323910.5,10017.2
Multifamily Housing,488895.0,1997,100,46.0,60.8,15841065.5,16042.0
Financial Office,61250.0,1907,100,68.0,82.1,7265.6,1449.1
Multifamily Housing,47510.0,1827,100,1.0,95.9,2870553.1,7918.6
Multifamily Housing,468963.0,1972,95,16.0,74.2,17137225.0,864235.7
Multifamily Housing,464912.0,1969,100,26.0,74.7,32200.0,12887.4
Office,885474.0,1968,60,56.0,71.0,0.0,13865.2
Office,1345237.0,1989,100,76.0,117.7,2216900.0,37796.1
Multifamily Housing,813470.0,1931,100,1.0,99.4,5260797.1,1419.3
Multifamily Housing,279600.0,1930,100,10.0,80.4,1406500.1,9902.0
Office,1858900.0,1915,95,88.0,65.6,2150167.0,22500.7
Office,1248923.0,1967,90,71.0,133.0,544887.5,34898.6
Hotel,183235.0,2009,100,48.0,99.2,968781.2,9301.1
Office,2294059.0,1972,85,89.0,98.1,1739666.4,32757.1
Office,801685.0,1924,100,58.0,111.3,1932604.9,30979.6
Multifamily Housing,636074.0,2000,100,24.0,92.4,40633092.2,30812.9
Office,600000.0,1982,100,70.0,80.0,1100800.0,25109.4
Multifamily Housing,52005.0,1900,95,93.0,38.2,886957.6,1536.3
Multifamily Housing,51895.0,2009,100,89.0,58.0,2068799.8,1648.0
Multifamily Housing,142626.0,2000,100,59.0,94.0,10829200.3,6749.4
Multifamily Housing,388596.0,2003,100,4.0,108.2,15266915.3,19344.6
Multifamily Housing,79470.0,1900,100,8.0,80.0,3202800.2,3885.4
Multifamily Housing,73779.0,1901,100,52.0,74.1,4181115.0,1601.7
Multifamily Housing,100369.0,1900,100,29.0,80.1,5580592.8,3487.3
Office,213484.0,1926,100,67.0,78.9,2342884.4,4926.0
Financial Office,1149222.0,1983,100,64.0,89.3,508187.9,16237.6
Multifamily Housing,121028.0,1900,100,18.0,63.7,263645.8,2383.3
Multifamily Housing,112500.0,1906,100,46.0,66.1,5487043.9,2856.9
Multifamily Housing,58196.0,1985,100,35.0,64.0,1621162.4,3913.4
Multifamily Housing,118968.0,1997,100,26.0,106.2,4595428.6,3561.8
Multifamily Housing,57567.0,1988,100,32.0,88.8,3904875.2,2910.7
Multifamily Housing,87324.0,1931,100,4.0,79.8,2966771.8,4509.3
Multifamily Housing,111592.0,1910,100,5.0,74.5,4682511.9,4089.6
Multifamily Housing,69830.0,1910,100,62.0,57.3,2377686.9,2786.5
Multifamily Housing,51508.0,1929,100,27.0,94.5,4239047.4,1801.4
Hotel,53039.0,1845,100,21.0,130.0,4856686.9,5730.7
Office,250564.0,1904,100,93.0,55.2,1302.9,3941.1
Multifamily Housing,477429.0,1990,100,13.0,96.9,32486166.9,16599.7
Office,113473.0,1935,95,99.0,34.5,1611297.4,2813.6
Multifamily Housing,231894.0,2003,100,4.0,142.3,24298464.8,14400.6
